node_id,zone_id,x_coord,y_coord
337,337,-76.53267008888201,39.86799016531152
338,338,-76.54936897701764,39.88718499926659
339,339,-76.523164427362,39.916249328182396
340,340,-76.52359330053598,39.89659542339761
341,341,-76.4984008355334,39.88426227833786
342,342,-76.49943378743896,39.90665152908566
343,343,-76.4790438787075,39.91083834201825
344,344,-76.45854293114586,39.89728652086514
345,345,-76.4976264889504,39.869868826119124
346,346,-76.3961083758202,39.93961635614116
347,347,-76.41984348037515,39.91735324748335
348,348,-76.42040441797305,39.926887929716145
349,349,-76.43199832896688,39.937321132006275
350,350,-76.41432239301753,39.94515231667525
351,351,-76.41720650825022,39.9626739332848
352,352,-76.44365419270406,39.97548943077118
353,353,-76.44168586150388,39.951656006918526
354,354,-76.46545778168752,39.96816319360202
355,355,-76.46604036061393,39.95407153001933
356,356,-76.45698905724645,39.93614331864075
357,357,-76.45430118367393,39.912917756468794
358,358,-76.47739488857123,39.934582941395256
359,359,-76.51259243227686,39.933894540670344
360,360,-76.50247793026196,39.952286061672375
361,361,-76.53014547861437,39.995954287792955
362,362,-76.49144431514891,39.970958298457376
363,363,-76.48041875278442,39.992735354106564
364,364,-76.47188974746145,40.01327187051026
365,365,-76.48283825533903,40.02949446700059
366,366,-76.4951738769169,40.022795297774486
367,367,-76.49756107985554,40.012506549608574
368,368,-76.51447608950335,40.01729135985564
369,369,-76.52723426990646,40.01989405919053
370,370,-76.52723809101786,40.03335659650144
371,371,-76.52988094847593,40.0434123050922
372,372,-76.50773831077016,40.03430102247144
373,373,-76.49784413918961,40.04591251516528
374,374,-76.52745180179188,40.052288684605834
375,375,-76.51169129782122,40.057919026304226
376,376,-76.5152651786067,40.07144612338531
377,377,-76.54178595560681,40.07383765523015
378,378,-76.54714590423373,40.06289389812524
379,379,-76.5314642653475,40.06119367584536
380,380,-76.54846201555956,40.05449445841093
381,381,-76.56523488456963,40.0560264250591
383,383,-76.56504039248834,40.044823446052526
384,384,-76.54936753115373,40.039483003260926
385,385,-76.55498867906402,40.02513746055604
386,386,-76.54091693959593,40.02282410909581
387,387,-76.59191415817898,40.006536905063726
388,388,-76.5513349159618,39.996696468040064
389,389,-76.54992176906165,39.95874062706303
390,390,-76.59222357295286,39.9107004514612
391,391,-76.61226680624482,39.870379430184876
392,392,-76.6251594783301,39.81915527884188
393,393,-76.57384709284325,39.83780763056933
394,394,-77.7997281757113,40.90947202355586
395,395,-77.62075941796157,40.83845402673872
396,396,-77.41265434408707,40.74430683076241
397,397,-77.4022292346437,40.853609747865846
398,398,-77.52172756535872,40.935006195926356
399,399,-77.37317043934243,40.984848121016455
400,400,-77.32564759400519,40.901208254449855
401,401,-77.28807446555136,40.8209537650856
402,402,-77.23805387864098,40.91801089753179
403,403,-77.26261689221478,40.97752035524013
404,404,-77.1681147579014,40.96825424671223
405,405,-77.19095007214302,40.93868635723181
406,406,-77.18787190508635,40.9093104800204
407,407,-77.15583851148992,40.88867379782921
408,408,-77.11044088141514,40.922325686752174
409,409,-77.12368346627483,40.94083953356401
410,410,-77.10066917069507,40.96202193449316
411,411,-77.08611336331352,40.9416599332424
412,412,-77.04931330125669,40.95792923095218
413,413,-77.08233348770177,40.98133575819928
414,414,-77.1189522167347,41.00408206500371
415,415,-77.14227708156697,41.04245099338331
416,416,-77.19271037355048,41.02501607497822
417,417,-77.21348260121096,40.99665120971486
418,418,-77.22815641346263,41.05146710232712
419,419,-77.17883226660035,41.04514243411572
420,420,-77.18432391719153,41.0726282484066
421,421,-77.1456783270532,41.07310101948744
422,422,-77.15666782858875,41.086532218023564
423,423,-77.1883104288165,41.09511616542798
