link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,VDF_fftt,VDF_toll_auto,link_type_name,from_biway,vdf_free_speed_in_mph,is_link
2739,Gilespie Street,1374790237,1827,4025,1,"LINESTRING (-115.1636021 36.0029616, -115.1636474 36.0034259, -115.1636459 36.0034891)",1,58.82,tertiary,5,40,2,2400,,,0,0.15,4,1,0.036556868,24.85490947,25,0.08823,,,,,,,,,,
2740,East Frias Avenue,581022424,1828,1826,1,"LINESTRING (-115.1575245 36.0029516, -115.1573919 36.0029514)",1,11.93,tertiary,5,40,2,2400,,,0,0.15,4,1,0.007414543,24.85490947,25,0.017895,,,,,,,,,,
2741,East Frias Avenue,581022424,1828,1827,1,"LINESTRING (-115.1575245 36.0029516, -115.1582058 36.0029529, -115.1593026 36.0029582, -115.1603852 36.0029635, -115.1614654 36.0029601, -115.1625679 36.0029616, -115.1636021 36.0029616)",1,546.72,tertiary,5,40,2,2400,,,0,0.15,4,1,0.339788689,24.85490947,25,0.82008,,,,,,,,,,
2742,,1192467663,1828,3906,1,"LINESTRING (-115.1575245 36.0029516, -115.157355 36.0028674, -115.1572484 36.0028177, -115.1572213 36.0028031, -115.1571991 36.0027872, -115.157177 36.0027666, -115.1571639 36.0027414, -115.1571297 36.0026611)",1,50.07,tertiary,5,40,2,2400,,,0,0.15,4,1,0.031118707,24.85490947,25,0.075105,,,,,,,,,,
2743,Wayne Newton Boulevard,657436567,1829,380,1,"LINESTRING (-115.150918 36.087629, -115.1509082 36.0874429, -115.150889 36.087295, -115.150836 36.087095)",1,59.99,secondary,4,24,4,6400,,,0,0.15,4,1,0.037284027,14.91294568,15,0.149975,,,,,,,,,,
2744,Wayne Newton Boulevard,582413417,1830,678,1,"LINESTRING (-115.1499648 36.089088, -115.1505042 36.0885067, -115.150658 36.088306, -115.150809 36.0880726)",1,136.33,secondary,4,40,3,4800,,,0,0.15,4,1,0.084729646,24.85490947,25,0.204495,,,,,,,,,,
2745,East Russell Road,594489755,1831,4054,1,"LINESTRING (-115.0722003 36.085691, -115.0722478 36.0856867, -115.0724115 36.0856848, -115.0727333 36.0856813, -115.0730271 36.0856888)",1,74.34,secondary,4,60,3,4800,,,0,0.15,4,1,0.04620261,37.2823642,35,0.07434,,,,,,,,,,
2746,East Russell Road,594489756,1832,1833,1,"LINESTRING (-115.0712248 36.0857838, -115.0717196 36.0857362)",1,44.78,secondary,4,60,2,3200,,,0,0.15,4,1,0.027830951,37.2823642,35,0.04478,,,,,,,,,,
2747,East Russell Road,1196745054,1833,1831,1,"LINESTRING (-115.0717196 36.0857362, -115.0718401 36.0857246, -115.0720699 36.0857032, -115.0722003 36.085691)",1,43.49,secondary,4,60,2,3200,,,0,0.15,4,1,0.027029211,37.2823642,35,0.04349,,,,,,,,,,
2748,East Russell Road,594489757,1834,1055,1,"LINESTRING (-115.0716946 36.0856273, -115.0711972 36.0856825)",1,45.12,secondary,4,60,2,3200,,,0,0.15,4,1,0.028042262,37.2823642,35,0.04512,,,,,,,,,,
2749,East Russell Road,600139330,1835,1839,1,"LINESTRING (-115.0742728 36.0856892, -115.0744781 36.0856845, -115.0752261 36.0856808, -115.0754572 36.0856785, -115.0764958 36.085678, -115.07653 36.085678, -115.0776377 36.0856737, -115.0783458 36.0856791, -115.078484 36.0856824)",1,378.44,secondary,4,60,2,3200,,,0,0.15,4,1,0.235201989,37.2823642,35,0.37844,,,,,,,,,,
2750,East Russell Road,594489764,1836,1837,1,"LINESTRING (-115.060026 36.0857014, -115.0594467 36.0853377, -115.0593253 36.0852615)",1,79.73,secondary,4,60,2,3200,,,0,0.15,4,1,0.049552517,37.2823642,35,0.07973,,,,,,,,,,
2751,East Russell Road,594489764,1837,1836,1,"LINESTRING (-115.0593253 36.0852615, -115.0594467 36.0853377, -115.060026 36.0857014)",1,79.73,secondary,4,60,2,3200,,,0,0.15,4,1,0.049552517,37.2823642,35,0.07973,,,,,,,,,,
2752,West Russell Road,600658873,1837,1920,1,"LINESTRING (-115.0593253 36.0852615, -115.0579327 36.0843687)",1,159.74,secondary,4,60,2,3200,,,0,0.15,4,1,0.099279055,37.2823642,35,0.15974,,,,,,,,,,
2753,South Lamb Boulevard,1363636513,1838,2016,1,"LINESTRING (-115.0821197 36.0856705, -115.0821268 36.0855651)",1,11.74,tertiary,5,40,2,2400,,,0,0.15,4,1,0.007296457,24.85490947,25,0.01761,,,,,,,,,,
2754,South Lamb Boulevard,1363636513,1838,4020,1,"LINESTRING (-115.0821197 36.0856705, -115.0821046 36.0858057, -115.0820917 36.0863239, -115.0820977 36.086842, -115.0821021 36.087178, -115.0821031 36.0873316)",1,184.78,tertiary,5,40,2,2400,,,0,0.15,4,1,0.114841516,24.85490947,25,0.27717,,,,,,,,,,
2755,East Russell Road,594489766,1838,4182,1,"LINESTRING (-115.0821197 36.0856705, -115.0832556 36.0856831, -115.084418 36.0856974, -115.0855745 36.0856878, -115.0856119 36.085688, -115.0867452 36.0856897)",1,415.68,secondary,4,60,2,3200,,,0,0.15,4,1,0.258346799,37.2823642,35,0.41568,,,,,,,,,,
2756,East Russell Road,594489766,1839,1838,1,"LINESTRING (-115.078484 36.0856824, -115.0791585 36.0856776, -115.0798863 36.0856724, -115.0810093 36.0856707, -115.0814019 36.0856701, -115.0821197 36.0856705)",1,326.71,secondary,4,60,2,3200,,,0,0.15,4,1,0.203051585,37.2823642,35,0.32671,,,,,,,,,,
2757,East Mandalay Bay Road,594495322,1840,1284,1,"LINESTRING (-115.1719206 36.0936414, -115.1722392 36.0936622)",1,28.72,secondary,4,60,2,3200,,,0,0.15,4,1,0.017849596,37.2823642,35,0.02872,,,,,,,,,,
2758,,594495316,1840,4205,1,"LINESTRING (-115.1719206 36.0936414, -115.1722379 36.0935873, -115.1724042 36.093585, -115.172655 36.0935844, -115.172779 36.0935841)",1,77.76,primary,3,80,2,3600,,,0,0.15,4,1,0.048328154,49.70981893,50,0.05832,,,,,,,,,,
