name,node_id,zone_id,node_type,control_type,x_coord,y_coord,Centroid,geometry,old_node_id,osm_node_id,is_boundary,activity_type,poi_id,notes,boundary_status
,49972,,,,-112.0739306,33.4681038,,POINT (-112.0739306 33.4681038),46524.0,1576443061.0,0.0,primary,,,inside
,49988,,,,-111.986007,33.3927094,,POINT (-111.986007 33.3927094),46540.0,41812482.0,0.0,secondary,,,inside
,49989,,,,-111.9853614,33.3927098,,POINT (-111.9853614 33.3927098),46541.0,4347919980.0,0.0,secondary,,,inside
,49990,,,,-111.9793518,33.3927591,,POINT (-111.9793518 33.3927591),46542.0,4347919981.0,0.0,secondary,,,inside
,49991,49991.0,,,-111.9783642,33.3927648,,POINT (-111.9783642 33.3927648),46543.0,41553026.0,0.0,secondary,,,boundary
,50022,,,,-112.0659042,33.4513108,,POINT (-112.0659042 33.4513108),46574.0,4347921316.0,0.0,secondary,,,inside
,50023,,,,-112.069986,33.4514446,,POINT (-112.069986 33.4514446),46575.0,2262241145.0,0.0,secondary,,,inside
,50024,,,,-112.0658777,33.4514331,,POINT (-112.0658777 33.4514331),46576.0,4347921330.0,0.0,secondary,,,inside
,50025,,,,-112.06618,33.4514334,,POINT (-112.06618 33.4514334),46577.0,2361888601.0,0.0,secondary,,,inside
,50026,,,,-112.0642909,33.4513562,,POINT (-112.0642909 33.4513562),46578.0,4347921322.0,0.0,secondary,,,inside
,50027,,,,-112.0669805,33.4513121,,POINT (-112.0669805 33.4513121),46579.0,4347921314.0,0.0,secondary,,,inside
,50028,,,,-112.0614437,33.4513506,,POINT (-112.0614437 33.4513506),46580.0,4347921320.0,0.0,secondary,,,inside
,50029,,,,-112.062072,33.4513509,,POINT (-112.062072 33.4513509),46581.0,41644382.0,0.0,secondary,,,inside
,50030,,,,-112.0720515,33.4514258,,POINT (-112.0720515 33.4514258),46582.0,4347921329.0,0.0,secondary,,,inside
,50031,,,,-112.071265,33.4513389,,POINT (-112.071265 33.4513389),46583.0,42203712.0,0.0,secondary,,,inside
,50032,,,,-112.070405,33.4513424,,POINT (-112.070405 33.4513424),46584.0,4347921318.0,0.0,secondary,,,inside
,50033,,,,-112.069982,33.4513409,,POINT (-112.069982 33.4513409),46585.0,41711786.0,0.0,secondary,,,inside
,50034,,,,-112.0625508,33.451352,,POINT (-112.0625508 33.451352),46586.0,4347921321.0,0.0,secondary,,,inside
,50035,,,,-112.076438,33.4514011,,POINT (-112.076438 33.4514011),46587.0,1680570361.0,0.0,secondary,,,inside
,50036,,,,-112.0770547,33.4513992,,POINT (-112.0770547 33.4513992),46588.0,4347921325.0,0.0,secondary,,,inside
,50066,,,,-111.9955554,33.3788356,,POINT (-111.9955554 33.3788356),46618.0,4347921370.0,0.0,secondary,,,inside
,50067,,,,-111.9783988,33.3858741,,POINT (-111.9783988 33.3858741),46619.0,4347921373.0,0.0,secondary,,,inside
,50068,,,,-112.152342,33.7121304,,POINT (-112.152342 33.7121304),46620.0,4347922193.0,0.0,secondary,,,inside
,50069,,,,-112.152358,33.7127096,,POINT (-112.152358 33.7127096),46621.0,1968348743.0,0.0,secondary,,,inside
,50075,50075.0,,,-112.2040836,33.7121468,,POINT (-112.2040836 33.7121468),46627.0,4347923879.0,0.0,secondary,,,boundary
