link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,vdf_length_mi,facility_type,link_type,free_speed,vdf_free_speed_mph,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,free_speed_in_mph_raw,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,vdf_fftt,is_link,from_biway,link_type_name,boundary_status
4660,East Elwood Street,436949794,3942,4452,1,"LINESTRING (-112.0733613 33.4139966, -112.0734381 33.4139974)",1,7.13,0.004430375,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4661,South Central Avenue,436949809,3942,50592,1,"LINESTRING (-112.0733613 33.4139966, -112.073372 33.4143614, -112.0733732 33.4143761, -112.0733839 33.4145827)",1,65.21,0.040519603,secondary,4,56,34.79687325,2,3200,,,0,0.15,4,1,35,,,,,,,,,inside
4662,East Elwood Street,5590964,3943,3942,1,"LINESTRING (-112.0731617 33.4139953, -112.0732042 33.4139949, -112.0732603 33.4139955, -112.0733613 33.4139966)",1,18.53,0.011514005,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4663,East Elwood Street,1149049223,3943,81288,1,"LINESTRING (-112.0731617 33.4139953, -112.0728655 33.413998)",1,27.49,0.017081489,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4664,,,3944,946,,"LINESTRING (-112.0444738 33.4140877, -112.037834 33.412201)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
4665,East Elwood Street,5590967,3944,3945,1,"LINESTRING (-112.0444738 33.4140877, -112.0446806 33.4140491, -112.0449558 33.4140504, -112.0454347 33.4140496, -112.0459028 33.414048, -112.0462953 33.4140511)",1,169.54,0.105347239,tertiary,5,64,39.76785515,1,1200,,,0,0.15,4,1,40,,,,,,,,,inside
4666,East Elwood Street,5590967,3945,3944,1,"LINESTRING (-112.0462953 33.4140511, -112.0459028 33.414048, -112.0454347 33.4140496, -112.0449558 33.4140504, -112.0446806 33.4140491, -112.0444738 33.4140877)",1,169.54,0.105347239,tertiary,5,64,39.76785515,1,1200,,,0,0.15,4,1,40,,,,,,,,,inside
4667,East Elwood Street,537944305,3945,35637,1,"LINESTRING (-112.0462953 33.4140511, -112.046473 33.4140499, -112.0469181 33.4140468, -112.0470494 33.4140459)",1,69.99,0.043489756,tertiary,5,64,39.76785515,2,2400,,,0,0.15,4,1,40,,,,,,,,,inside
4684,East Marketplace Southeast,5591314,3953,3954,1,"LINESTRING (-112.0581261 33.3023706, -112.0583977 33.3024934)",1,28.7,0.017833348,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4685,East Marketplace Southwest,538742793,3953,3961,1,"LINESTRING (-112.0581261 33.3023706, -112.0580658 33.3023399, -112.058018 33.3023155)",1,11.77,0.007313537,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4686,South Desert Foothills Parkway,538723174,3953,74561,1,"LINESTRING (-112.0581261 33.3023706, -112.0583703 33.3020134, -112.0586128 33.3016408, -112.0588477 33.3012796)",1,138.62,0.086134448,tertiary,5,40,24.85490947,2,2400,,,0,0.15,4,1,25,,,,,,,,,inside
