link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,is_link,link_type_name,vdf_free_speed_in_mph,from_biway
12332,Riggs Road Northeast,935701248,7449,7450,1,"LINESTRING (-77.0029512 38.9562708, -77.0030826 38.9562166, -77.0030969 38.9562097)",1,14.32,primary,3,40,2,3600,,,0,0.15,4,1,0.008899938,24.85490947,25,0.02148,,,,,,,,
12333,Riggs Road Northeast,935701249,7450,6052,1,"LINESTRING (-77.0030969 38.9562097, -77.0031714 38.9561735, -77.003292 38.9561404, -77.0034202 38.9561081, -77.0035882 38.9560693, -77.0036221 38.9560642, -77.0042147 38.9559356)",1,101.65,primary,3,40,3,5400,,,0,0.15,4,1,0.063175886,24.85490947,25,0.152475,,,,,,,,
12334,Riggs Road Northeast,935710383,7451,8438,1,"LINESTRING (-77.0020225 38.9575028, -77.002305 38.9570592, -77.0023575 38.9569832)",1,64.64,primary,3,40,3,5400,,,0,0.15,4,1,0.040174021,24.85490947,25,0.09696,,,,,,,,
12335,Nannie Helen Burroughs Avenue Northeast,935719730,7452,8477,1,"LINESTRING (-76.9326151 38.8987114, -76.9319513 38.8985998, -76.9317992 38.8985742, -76.931674 38.8985532)",1,83.32,secondary,4,60,2,3200,,,0,0.15,4,1,0.051783717,37.2823642,35,0.08332,,,,,,,,
12336,Nannie Helen Burroughs Avenue Northeast,1111074098,7453,7454,1,"LINESTRING (-76.9306737 38.8983763, -76.9304509 38.8983444, -76.9303168 38.8983277)",1,31.36,secondary,4,60,1,1600,,,0,0.15,4,1,0.019490367,37.2823642,35,0.03136,,,,,,,,
12337,Nannie Helen Burroughs Avenue Northeast,935719732,7454,7411,1,"LINESTRING (-76.9303168 38.8983277, -76.9302149 38.8983173, -76.930113 38.8983089, -76.9300111 38.898311, -76.9296616 38.898319)",1,56.84,secondary,4,60,2,3200,,,0,0.15,4,1,0.03532629,37.2823642,35,0.05684,,,,,,,,
12338,Rhode Island Avenue Northeast,935786459,7455,7456,1,"LINESTRING (-76.9677102 38.9331476, -76.9678834 38.9330812)",1,16.7,primary,3,80,3,5400,,,0,0.15,4,1,0.010379117,49.70981893,50,0.012525,,,,,,,,
12339,Rhode Island Avenue Northeast,1072047394,7455,7741,1,"LINESTRING (-76.9677102 38.9331476, -76.9667472 38.9336009, -76.9664131 38.9337582, -76.9663666 38.9337801)",1,135.84,primary,3,80,1,1800,,,0,0.15,4,1,0.084425109,49.70981893,50,0.10188,,,,,,,,
12340,Rhode Island Avenue Northeast,935786459,7456,8371,1,"LINESTRING (-76.9678834 38.9330812, -76.9679493 38.933056, -76.968054 38.9330159, -76.96821 38.9329406, -76.969051 38.9325347, -76.9691456 38.932489, -76.9692213 38.932453, -76.9707945 38.931705, -76.9714895 38.9313665, -76.9715988 38.9313129)",1,376.83,primary,3,80,3,5400,,,0,0.15,4,1,0.234201367,49.70981893,50,0.2826225,,,,,,,,
12341,South Dakota Avenue Northeast,1128428070,7457,7458,1,"LINESTRING (-77.0014404 38.9562834, -77.001792 38.9565541)",1,42.78,primary,3,80,4,7200,,,0,0.15,4,1,0.026587943,49.70981893,50,0.032085,,,,,,,,
12342,South Dakota Avenue Northeast,935792101,7458,8438,1,"LINESTRING (-77.001792 38.9565541, -77.0021519 38.9568312, -77.0022581 38.9569129)",1,56.71,primary,3,80,4,7200,,,0,0.15,4,1,0.035245494,49.70981893,50,0.0425325,,,,,,,,
12343,M Street Northwest,1054633206,7459,7727,1,"LINESTRING (-77.0443703 38.9056527, -77.044716 38.905653)",1,29.91,primary,3,80,4,7200,,,0,0.15,4,1,0.018589186,49.70981893,50,0.0224325,,,,,,,,
12344,Rhode Island Avenue Northeast,939685435,7460,7461,1,"LINESTRING (-76.9736348 38.9302255, -76.9735666 38.9302592, -76.9734982 38.930293, -76.9731452 38.9304671, -76.9730737 38.9305024, -76.9723605 38.9308543)",1,130.53,primary,3,80,3,5400,,,0,0.15,4,1,0.081124922,49.70981893,50,0.0978975,,,,,,,,
12345,Rhode Island Avenue Northeast,939685435,7461,8371,1,"LINESTRING (-76.9723605 38.9308543, -76.9723432 38.9308628, -76.9723125 38.9308777, -76.9721526 38.9309555, -76.9720693 38.9309951, -76.9716901 38.9311755, -76.9716378 38.9312013, -76.9715356 38.9312522)",1,83.96,primary,3,80,3,5400,,,0,0.15,4,1,0.052181479,49.70981893,50,0.06297,,,,,,,,
12346,New York Avenue Northeast,939985258,7462,7463,1,"LINESTRING (-76.958634 38.9167855, -76.9584439 38.9167999, -76.9583435 38.9168091, -76.9582225 38.916825, -76.9580953 38.9168451, -76.9579577 38.916873, -76.95782 38.9169037, -76.9577335 38.9169257, -76.9576316 38.9169537, -76.9575435 38.9169802, -76.9574682 38.9170058, -76.957397 38.9170322, -76.9572955 38.9170743)",1,121.09,motorway,1,120,3,6900,,,0,0.15,4,1,0.075257924,74.5647284,75,0.060545,,,,,,,,
12347,,1086776799,7462,7800,1,"LINESTRING (-76.958634 38.9167855, -76.958376 38.9167685, -76.9582964 38.9167654, -76.9582406 38.9167656, -76.9581743 38.9167681, -76.9581393 38.9167688, -76.9581087 38.9167688, -76.9580782 38.9167678, -76.9580597 38.9167666, -76.9580416 38.916765, -76.9580275 38.9167631, -76.958005 38.9167591, -76.9579676 38.9167544, -76.9579261 38.9167484, -76.9578763 38.9167406, -76.9577709 38.9167243, -76.9576712 38.9167112, -76.9576018 38.9167043, -76.9575481 38.9167013, -76.957495 38.9166997, -76.9572228 38.9166991)",1,122.83,motorway,1,120,1,2300,,,0,0.15,4,1,0.076339341,74.5647284,75,0.061415,,,,,,,,
12348,New York Avenue Northeast,977620504,7463,2685,1,"LINESTRING (-76.9572955 38.9170743, -76.9569876 38.9172085, -76.9567698 38.9173047)",1,52.2,motorway,1,120,3,6900,,,0,0.15,4,1,0.032442511,74.5647284,75,0.0261,,,,,,,,
12349,New York Avenue Northeast,1021865585,7464,7462,1,"LINESTRING (-76.9593822 38.9167893, -76.958827 38.9167809, -76.958634 38.9167855)",1,64.75,motorway,1,120,4,9200,,,0,0.15,4,1,0.040242387,74.5647284,75,0.032375,,,,,,,,
