link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,link_type_name,vdf_free_speed_in_mph,from_biway,is_link
20592,Southeast 8th Street,244176601,10808,10809,1,"LINESTRING (-122.0347681 47.6017646, -122.0335823 47.6017638, -122.033467 47.6017633, -122.0332039 47.6017616, -122.032788 47.6017597, -122.0321444 47.6017539, -122.0315346 47.6017484, -122.02769 47.6017116, -122.0259967 47.6016976, -122.0256512 47.6016909)",1,683.61,tertiary,5,48,1,1200,,,0,0.15,4,1,0.424866377,29.82589136,30,0.8545125,,,,,,,,
20593,,389223487,10808,14646,1,"LINESTRING (-122.0347681 47.6017646, -122.0351065 47.6018175, -122.0351588 47.6018303, -122.0352088 47.601847, -122.0352521 47.6018645, -122.035286 47.6018791, -122.03532 47.6018985, -122.035346 47.6019205, -122.0353944 47.6019791, -122.0354657 47.6021483)",1,74.69,secondary,4,60,1,1600,,,0,0.15,4,1,0.046420137,37.2823642,35,0.07469,,,,,,,,
20594,Southeast 8th Street,410674441,10808,14648,1,"LINESTRING (-122.0347681 47.6017646, -122.0350039 47.6017629)",1,17.68,tertiary,5,48,1,1200,,,0,0.15,4,1,0.010988191,29.82589136,30,0.0221,,,,,,,,
20595,Southeast 8th Street,244176601,10809,10808,1,"LINESTRING (-122.0256512 47.6016909, -122.0259967 47.6016976, -122.02769 47.6017116, -122.0315346 47.6017484, -122.0321444 47.6017539, -122.032788 47.6017597, -122.0332039 47.6017616, -122.033467 47.6017633, -122.0335823 47.6017638, -122.0347681 47.6017646)",1,683.61,tertiary,5,48,1,1200,,,0,0.15,4,1,0.424866377,29.82589136,30,0.8545125,,,,,,,,
20596,Southeast 8th Street,976400526,10809,24244,1,"LINESTRING (-122.0256512 47.6016909, -122.0247065 47.6016787)",1,70.84,tertiary,5,48,1,1200,,,0,0.15,4,1,0.044027346,29.82589136,30,0.08855,,,,,,,,
20597,,,10810,451,,"LINESTRING (-121.9953488 47.6154472, -121.98552781141323 47.61033296916007)",1,931.9328892,,0,90,1,99999,,,0,0.15,4,1,0.579200055,,55,0.621288593,,,,,connector,55.9235463,1,0
20598,Northeast 8th Street,244185137,10810,10811,1,"LINESTRING (-121.9953488 47.6154472, -121.9955482 47.6155926, -121.9959454 47.6158125, -121.9963635 47.6159964, -121.9966221 47.6160859, -121.9968978 47.6161644, -121.9971344 47.616198, -121.9974182 47.6162224, -121.9987239 47.6162781, -121.9996249 47.6162976, -122.0003003 47.6163123, -122.0014833 47.6163452, -122.0036656 47.6164058, -122.0044914 47.6164406, -122.005486 47.6164826, -122.0061453 47.6165101, -122.0071288 47.6165368, -122.0115173 47.6166774, -122.0116591 47.6166851, -122.0118258 47.6166911, -122.0129756 47.6167131, -122.0130305 47.6167141, -122.0130554 47.6167146)",1,1355.2,tertiary,5,40,2,2400,,,0,0.15,4,1,0.842262275,24.85490947,25,2.0328,,,,,,,,
20599,Northeast 8th Street,244185137,10811,10810,1,"LINESTRING (-122.0130554 47.6167146, -122.0130305 47.6167141, -122.0129756 47.6167131, -122.0118258 47.6166911, -122.0116591 47.6166851, -122.0115173 47.6166774, -122.0071288 47.6165368, -122.0061453 47.6165101, -122.005486 47.6164826, -122.0044914 47.6164406, -122.0036656 47.6164058, -122.0014833 47.6163452, -122.0003003 47.6163123, -121.9996249 47.6162976, -121.9987239 47.6162781, -121.9974182 47.6162224, -121.9971344 47.616198, -121.9968978 47.6161644, -121.9966221 47.6160859, -121.9963635 47.6159964, -121.9959454 47.6158125, -121.9955482 47.6155926, -121.9953488 47.6154472)",1,1355.2,tertiary,5,40,2,2400,,,0,0.15,4,1,0.842262275,24.85490947,25,2.0328,,,,,,,,
20600,Northeast 8th Street,274444614,10811,11938,1,"LINESTRING (-122.0130554 47.6167146, -122.0135328 47.6167252, -122.0135738 47.6167316, -122.0136499 47.6167434, -122.0137439 47.6167881)",1,53.43,tertiary,5,40,2,2400,,,0,0.15,4,1,0.033206961,24.85490947,25,0.080145,,,,,,,,
20601,244th Avenue Northeast,244188749,10812,10813,1,"LINESTRING (-122.0140181 47.6166249, -122.0140033 47.6165571, -122.0139808 47.6164773)",1,16.65,tertiary,5,40,2,2400,,,0,0.15,4,1,0.010348042,24.85490947,25,0.024975,,,,,,,,
