link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,free_speed,vdf_free_speed_mph,vdf_fftt,vdf_toll,link_type,vdf_alpha,vdf_beta,vdf_plf,lanes,capacity,ref_volume,obs_volume,geometry
14352,1893,41,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.3063617 47.5988061, -122.30925409107144 47.59870051071427)"
15437,1893,1892,1,53.94,0.033516762096479996,45,27.96170364,0.0718986666666666,0,5,0.6,3,1,1,1400,0.0,0,"LINESTRING (-122.3063617 47.5988061, -122.3063632 47.5983208)"
15440,1893,5685,1,49.68,0.03086972081856,45,27.96170364,0.0662653333333333,0,5,0.6,3,1,1,1400,0.0,0,"LINESTRING (-122.3063617 47.5988061, -122.306359 47.5992531)"
23066,1894,20,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.2547404 47.5081957, -122.25692209920628 47.50603475238095)"
23107,1894,1891,1,88.83,0.05519640298536,45,27.96170364,0.1184226666666666,0,5,0.6,3,1,1,1400,0.0,0,"LINESTRING (-122.2547404 47.5081957, -122.2535607 47.5081918)"
23061,1894,5037,1,88.32,0.054879503677439996,45,27.96170364,0.1178213333333333,0,5,0.6,3,1,1,1400,0.0,0,"LINESTRING (-122.2547404 47.5081957, -122.2559133 47.5082005)"
14354,1895,41,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.3062138 47.5952071, -122.30925409107144 47.59870051071427)"
14175,1895,584,1,79.82,0.04959784854544,45,27.96170364,0.1064546666666666,0,5,0.6,3,1,1,1400,0.0,0,"LINESTRING (-122.3062138 47.5952071, -122.3061962 47.5959252)"
15291,1895,1896,1,78.26,0.048628509485920006,45,27.96170364,0.1043706666666666,0,5,0.6,3,1,1,1400,0.0,0,"LINESTRING (-122.3062138 47.5952071, -122.3062257 47.594503)"
14356,1896,41,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.3062257 47.594503, -122.30925409107144 47.59870051071427)"
15292,1896,1895,1,78.26,0.048628509485920006,45,27.96170364,0.1043706666666666,0,5,0.6,3,1,1,1400,0.0,0,"LINESTRING (-122.3062257 47.594503, -122.3062138 47.5952071)"
