node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry,resolution_type
464752,,-79.759366,36.074452,,,0,0.1,0.1,POINT (-79.759366 36.074452),Macro
633450,,-79.759278,45.125033,,,0,0.1,0.1,POINT (-79.759278 45.125033),Macro
464753,,-79.758921,34.134351,,,0,0.1,0.1,POINT (-79.758921 34.134351),Macro
633451,,-79.758851,43.381523,,,0,0.1,0.1,POINT (-79.758851 43.381523),Macro
464754,,-79.758822,36.079257,,,0,0.1,0.1,POINT (-79.758822 36.079257),Macro
633452,,-79.758588,43.381301,,,0,0.1,0.1,POINT (-79.758588 43.381301),Macro
633453,,-79.758338,43.241462,,,0,0.1,0.1,POINT (-79.758338 43.241462),Macro
633454,,-79.758231,44.432987,,,0,0.1,0.1,POINT (-79.758231 44.432987),Macro
464756,,-79.758113,36.076692,,,0,0.1,0.1,POINT (-79.758113 36.076692),Macro
464757,,-79.758079,34.201913,,,0,0.1,0.1,POINT (-79.758079 34.201913),Macro
464758,,-79.758018,36.077668,,,0,0.1,0.1,POINT (-79.758018 36.077668),Macro
464759,,-79.757748,34.200676,,,0,0.1,0.1,POINT (-79.757748 34.200676),Macro
464760,,-79.757451,36.077901,,,0,0.1,0.1,POINT (-79.757451 36.077901),Macro
464761,,-79.757384,34.199779,,,0,0.1,0.1,POINT (-79.757384 34.199779),Macro
633455,,-79.757375,44.434472,,,0,0.1,0.1,POINT (-79.757375 44.434472),Macro
464762,,-79.756825,34.104376,,,0,0.1,0.1,POINT (-79.756825 34.104376),Macro
464763,,-79.756534,36.14935,,,0,0.1,0.1,POINT (-79.756534 36.149350),Macro
464764,,-79.755375,34.201791,,,0,0.1,0.1,POINT (-79.755375 34.201791),Macro
633456,,-79.755356,44.443409,,,0,0.1,0.1,POINT (-79.755356 44.443409),Macro
633457,,-79.755237,44.443846,,,0,0.1,0.1,POINT (-79.755237 44.443846),Macro
633458,,-79.754785,45.122259,,,0,0.1,0.1,POINT (-79.754785 45.122259),Macro
464765,,-79.754538,33.872829,,,0,0.1,0.1,POINT (-79.754538 33.872829),Macro
633459,,-79.754318,43.24192,,,0,0.1,0.1,POINT (-79.754318 43.241920),Macro
464766,,-79.754308,35.939483,,,0,0.1,0.1,POINT (-79.754308 35.939483),Macro
464767,,-79.754069,34.200474,,,0,0.1,0.1,POINT (-79.754069 34.200474),Macro
464768,,-79.753974,34.201346,,,0,0.1,0.1,POINT (-79.753974 34.201346),Macro
464769,,-79.753469,36.512321,,,0,0.1,0.1,POINT (-79.753469 36.512321),Macro
464770,,-79.753469,34.894333,,,0,0.1,0.1,POINT (-79.753469 34.894333),Macro
