node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry
433221,,-84.380305,39.139674,,,0,0.100000,0.100000,"POINT (-84.380305 39.139674)"
433222,,-84.380240,42.238654,,,0,0.100000,0.100000,"POINT (-84.380240 42.238654)"
433223,,-84.380130,39.470481,,,0,0.100000,0.100000,"POINT (-84.380130 39.470481)"
433224,,-84.380111,42.241404,,,0,0.100000,0.100000,"POINT (-84.380111 42.241404)"
433225,,-84.379976,39.487760,,,0,0.100000,0.100000,"POINT (-84.379976 39.487760)"
433226,,-84.379938,39.469753,,,0,0.100000,0.100000,"POINT (-84.379938 39.469753)"
433227,,-84.379896,39.255740,,,0,0.100000,0.100000,"POINT (-84.379896 39.255740)"
626469,,-84.379859,46.522309,,,0,0.100000,0.100000,"POINT (-84.379859 46.522309)"
626470,,-84.379637,46.519761,,,0,0.100000,0.100000,"POINT (-84.379637 46.519761)"
433228,,-84.379514,33.622738,,,0,0.100000,0.100000,"POINT (-84.379514 33.622738)"
433229,,-84.379454,35.002076,,,0,0.100000,0.100000,"POINT (-84.379454 35.002076)"
626471,,-84.379353,46.522276,,,0,0.100000,0.100000,"POINT (-84.379353 46.522276)"
433230,,-84.379324,40.815970,,,0,0.100000,0.100000,"POINT (-84.379324 40.815970)"
626472,,-84.379235,46.522370,,,0,0.100000,0.100000,"POINT (-84.379235 46.522370)"
626473,,-84.379227,46.519445,,,0,0.100000,0.100000,"POINT (-84.379227 46.519445)"
433231,,-84.379163,42.240622,,,0,0.100000,0.100000,"POINT (-84.379163 42.240622)"
433232,,-84.379135,38.620871,,,0,0.100000,0.100000,"POINT (-84.379135 38.620871)"
433233,,-84.379129,39.487095,,,0,0.100000,0.100000,"POINT (-84.379129 39.487095)"
626474,,-84.379117,46.519197,,,0,0.100000,0.100000,"POINT (-84.379117 46.519197)"
433234,,-84.378977,33.622553,,,0,0.100000,0.100000,"POINT (-84.378977 33.622553)"
433235,,-84.378943,32.473384,,,0,0.100000,0.100000,"POINT (-84.378943 32.473384)"
433236,,-84.378853,33.623166,,,0,0.100000,0.100000,"POINT (-84.378853 33.623166)"
626475,,-84.378779,46.522384,,,0,0.100000,0.100000,"POINT (-84.378779 46.522384)"
626476,,-84.378562,46.522244,,,0,0.100000,0.100000,"POINT (-84.378562 46.522244)"
626477,,-84.378558,46.522218,,,0,0.100000,0.100000,"POINT (-84.378558 46.522218)"
433237,,-84.378489,41.277634,,,0,0.100000,0.100000,"POINT (-84.378489 41.277634)"
433238,,-84.378486,41.277763,,,0,0.100000,0.100000,"POINT (-84.378486 41.277763)"
433239,,-84.378447,39.139592,,,0,0.100000,0.100000,"POINT (-84.378447 39.139592)"
433240,,-84.378337,39.482900,,,0,0.100000,0.100000,"POINT (-84.378337 39.482900)"
433241,,-84.378293,32.473200,,,0,0.100000,0.100000,"POINT (-84.378293 32.473200)"
433242,,-84.378289,33.622309,,,0,0.100000,0.100000,"POINT (-84.378289 33.622309)"
433243,,-84.378254,33.622680,,,0,0.100000,0.100000,"POINT (-84.378254 33.622680)"
626478,,-84.378244,47.227334,,,0,0.100000,0.100000,"POINT (-84.378244 47.227334)"
433244,,-84.378140,39.240521,,,0,0.100000,0.100000,"POINT (-84.378140 39.240521)"
626479,,-84.377845,48.367076,,,0,0.100000,0.100000,"POINT (-84.377845 48.367076)"
433245,,-84.377756,42.239790,,,0,0.100000,0.100000,"POINT (-84.377756 42.239790)"
433246,,-84.377752,39.485794,,,0,0.100000,0.100000,"POINT (-84.377752 39.485794)"
626480,,-84.377695,46.522422,,,0,0.100000,0.100000,"POINT (-84.377695 46.522422)"
433247,,-84.377643,33.622285,,,0,0.100000,0.100000,"POINT (-84.377643 33.622285)"
433248,,-84.377568,41.093726,,,0,0.100000,0.100000,"POINT (-84.377568 41.093726)"
433249,,-84.377509,39.485297,,,0,0.100000,0.100000,"POINT (-84.377509 39.485297)"
433250,,-84.377474,33.622159,,,0,0.100000,0.100000,"POINT (-84.377474 33.622159)"
433251,,-84.377334,30.880004,,,0,0.100000,0.100000,"POINT (-84.377334 30.880004)"
433252,,-84.377332,39.470160,,,0,0.100000,0.100000,"POINT (-84.377332 39.470160)"
433253,,-84.377318,32.460805,,,0,0.100000,0.100000,"POINT (-84.377318 32.460805)"
433254,,-84.377242,32.461748,,,0,0.100000,0.100000,"POINT (-84.377242 32.461748)"
433255,,-84.377173,39.139945,,,0,0.100000,0.100000,"POINT (-84.377173 39.139945)"
433256,,-84.377157,41.278462,,,0,0.100000,0.100000,"POINT (-84.377157 41.278462)"
433257,,-84.377154,39.485452,,,0,0.100000,0.100000,"POINT (-84.377154 39.485452)"
433258,,-84.377116,33.806261,,,0,0.100000,0.100000,"POINT (-84.377116 33.806261)"
433259,,-84.377109,39.476725,,,0,0.100000,0.100000,"POINT (-84.377109 39.476725)"
433260,,-84.377099,33.622160,,,0,0.100000,0.100000,"POINT (-84.377099 33.622160)"
