from_node_id,to_node_id,link_type,geometry
eccaa285-54b6-4b0e-9205-0f98d2a1a5b2,b3a723b0-7605-44de-bb7b-9c60e751a42c,siding_track,"LINESTRING(-87.56813131227233 33.19786444316382, -87.5753153596493 33.20282727399329)"
4cfa84fb-e2c1-4a7c-a0dd-8fff06d8247c,a11c9f49-c55d-4ca7-9833-9af8728a7626,track,"LINESTRING(-87.56813131227233 33.2005593766888, -87.56813131227233 33.19921190992631)"
eccaa285-54b6-4b0e-9205-0f98d2a1a5b2,a11c9f49-c55d-4ca7-9833-9af8728a7626,track,"LINESTRING(-87.56813131227233 33.19786444316382, -87.56813131227233 33.19921190992631)"
eece2bd9-6609-449f-877d-85b1194f72d7,b761a0cb-ee3a-4c9a-9d31-85d75414ebd5,track,"LINESTRING(-87.5753153596493 33.20552220751827, -87.5753153596493 33.20417474075578)"
b3a723b0-7605-44de-bb7b-9c60e751a42c,b761a0cb-ee3a-4c9a-9d31-85d75414ebd5,track,"LINESTRING(-87.5753153596493 33.20282727399329, -87.5753153596493 33.20417474075578)"
840bc93f-70ce-4537-bd1e-b9ae5473d74a,befd174c-3b3b-4973-89a7-26f44177a33a,siding_track,"LINESTRING(-87.56813131227233 33.20190684345128, -87.5753153596493 33.20686967428075)"
b38e13da-8572-4b0f-be2b-a94ed7f118d7,1d88f8ac-6a21-4654-ad3f-17168acff23c,siding_track,"LINESTRING(-87.56813131227233 33.19651697640134, -87.5753153596493 33.20147980723081)"
840bc93f-70ce-4537-bd1e-b9ae5473d74a,a11c9f49-c55d-4ca7-9833-9af8728a7626,track,"LINESTRING(-87.56813131227233 33.20190684345128, -87.56813131227233 33.19921190992631)"
b38e13da-8572-4b0f-be2b-a94ed7f118d7,a11c9f49-c55d-4ca7-9833-9af8728a7626,track,"LINESTRING(-87.56813131227233 33.19651697640134, -87.56813131227233 33.19921190992631)"
befd174c-3b3b-4973-89a7-26f44177a33a,b761a0cb-ee3a-4c9a-9d31-85d75414ebd5,track,"LINESTRING(-87.5753153596493 33.20686967428075, -87.5753153596493 33.20417474075578)"
1d88f8ac-6a21-4654-ad3f-17168acff23c,b761a0cb-ee3a-4c9a-9d31-85d75414ebd5,track,"LINESTRING(-87.5753153596493 33.20147980723081, -87.5753153596493 33.20417474075578)"
f4bf937b-5d68-4b9b-b73c-9c78b75c49e4,23f8c30b-f4d4-4626-9809-85a554e42fc4,main_track,"LINESTRING(-86.78978747713124 33.56047892384466, -86.78947742906874 33.56339784567539)"
2415a2b2-5255-40ce-946e-c5f3df6a97d7,62c77883-70c1-41b0-886b-122a23395c55,siding_track,"LINESTRING(-86.78978747713124 33.56182639060715, -86.78947742906874 33.56474531243788)"
d0bcad05-4b49-42ee-8a67-d589e7cb714a,452e1627-c63c-4c76-952e-c1e371dfe069,siding_track,"LINESTRING(-86.78978747713124 33.559131457082174, -86.78947742906874 33.5620503789129)"
2415a2b2-5255-40ce-946e-c5f3df6a97d7,f4bf937b-5d68-4b9b-b73c-9c78b75c49e4,track,"LINESTRING(-86.78978747713124 33.56182639060715, -86.78978747713124 33.56047892384466)"
d0bcad05-4b49-42ee-8a67-d589e7cb714a,f4bf937b-5d68-4b9b-b73c-9c78b75c49e4,track,"LINESTRING(-86.78978747713124 33.559131457082174, -86.78978747713124 33.56047892384466)"
62c77883-70c1-41b0-886b-122a23395c55,23f8c30b-f4d4-4626-9809-85a554e42fc4,track,"LINESTRING(-86.78947742906874 33.56474531243788, -86.78947742906874 33.56339784567539)"
452e1627-c63c-4c76-952e-c1e371dfe069,23f8c30b-f4d4-4626-9809-85a554e42fc4,track,"LINESTRING(-86.78947742906874 33.5620503789129, -86.78947742906874 33.56339784567539)"
e4e6b200-8bef-43ca-823d-cd173eab51ab,1017ee8f-dabb-4a68-9a13-bafe466088c9,siding_track,"LINESTRING(-86.78978747713124 33.563173857369634, -86.78947742906874 33.56609277920036)"
e2cda475-de3d-4f76-be30-21820eb2c4b0,a73a32d2-2fbb-4daa-b8e0-d14c69457701,siding_track,"LINESTRING(-86.78978747713124 33.55778399031969, -86.78947742906874 33.56070291215042)"
e4e6b200-8bef-43ca-823d-cd173eab51ab,f4bf937b-5d68-4b9b-b73c-9c78b75c49e4,track,"LINESTRING(-86.78978747713124 33.563173857369634, -86.78978747713124 33.56047892384466)"
e2cda475-de3d-4f76-be30-21820eb2c4b0,f4bf937b-5d68-4b9b-b73c-9c78b75c49e4,track,"LINESTRING(-86.78978747713124 33.55778399031969, -86.78978747713124 33.56047892384466)"
1017ee8f-dabb-4a68-9a13-bafe466088c9,23f8c30b-f4d4-4626-9809-85a554e42fc4,track,"LINESTRING(-86.78947742906874 33.56609277920036, -86.78947742906874 33.56339784567539)"
a73a32d2-2fbb-4daa-b8e0-d14c69457701,23f8c30b-f4d4-4626-9809-85a554e42fc4,track,"LINESTRING(-86.78947742906874 33.56070291215042, -86.78947742906874 33.56339784567539)"
189634c9-60cd-4e5e-b5ae-60b6a37234f8,011510a2-50b6-4b30-a7d0-bf1885de3606,main_track,"LINESTRING(-79.2705946917564 35.55906691935647, -79.28568094219271 35.56208739009584)"
55786f44-170e-4f17-b68b-8e73ddcc161d,a453f5e2-d2d9-420e-af37-c073e65a5edc,siding_track,"LINESTRING(-79.2705946917564 35.56041438611896, -79.28568094219271 35.56343485685833)"
8cbc9e46-d5c9-4119-9f10-cbb52d3e9175,37da0efe-91f9-4866-8b07-2eaab4ec22c2,siding_track,"LINESTRING(-79.2705946917564 35.55771945259398, -79.28568094219271 35.56073992333335)"
55786f44-170e-4f17-b68b-8e73ddcc161d,189634c9-60cd-4e5e-b5ae-60b6a37234f8,track,"LINESTRING(-79.2705946917564 35.56041438611896, -79.2705946917564 35.55906691935647)"
8cbc9e46-d5c9-4119-9f10-cbb52d3e9175,189634c9-60cd-4e5e-b5ae-60b6a37234f8,track,"LINESTRING(-79.2705946917564 35.55771945259398, -79.2705946917564 35.55906691935647)"
a453f5e2-d2d9-420e-af37-c073e65a5edc,011510a2-50b6-4b30-a7d0-bf1885de3606,track,"LINESTRING(-79.28568094219271 35.56343485685833, -79.28568094219271 35.56208739009584)"
37da0efe-91f9-4866-8b07-2eaab4ec22c2,011510a2-50b6-4b30-a7d0-bf1885de3606,track,"LINESTRING(-79.28568094219271 35.56073992333335, -79.28568094219271 35.56208739009584)"
efde5957-7308-4e96-9117-295d5e257d78,999bd578-2675-4c92-8b76-efb3961fd771,siding_track,"LINESTRING(-79.2705946917564 35.56176185288144, -79.28568094219271 35.56478232362081)"
fe62cb38-95e1-4eea-93a2-674b9215eccb,efaf6453-06e4-4510-bc18-b459109b7551,siding_track,"LINESTRING(-79.2705946917564 35.5563719858315, -79.28568094219271 35.55939245657087)"
efde5957-7308-4e96-9117-295d5e257d78,189634c9-60cd-4e5e-b5ae-60b6a37234f8,track,"LINESTRING(-79.2705946917564 35.56176185288144, -79.2705946917564 35.55906691935647)"
fe62cb38-95e1-4eea-93a2-674b9215eccb,189634c9-60cd-4e5e-b5ae-60b6a37234f8,track,"LINESTRING(-79.2705946917564 35.5563719858315, -79.2705946917564 35.55906691935647)"
999bd578-2675-4c92-8b76-efb3961fd771,011510a2-50b6-4b30-a7d0-bf1885de3606,track,"LINESTRING(-79.28568094219271 35.56478232362081, -79.28568094219271 35.56208739009584)"
efaf6453-06e4-4510-bc18-b459109b7551,011510a2-50b6-4b30-a7d0-bf1885de3606,track,"LINESTRING(-79.28568094219271 35.55939245657087, -79.28568094219271 35.56208739009584)"
c6c1a8f4-7a4f-46d3-839f-9c0e5dc8e7a1,7b1ac20c-d5cc-4a4a-aa9a-e6e712f020b3,main_track,"LINESTRING(-83.82984156069696 41.81513931901489, -83.84178166960264 41.82083814282386)"
e973f953-66f6-45be-a1d2-c39e8309b3ea,633356d3-b4d8-4f0f-b3c7-df48627d4fee,siding_track,"LINESTRING(-83.82984156069696 41.81648678577738, -83.84178166960264 41.82218560958635)"
d37b97b6-0c45-4386-a810-4ed0fd89e563,218ea0a0-a0db-4453-87d5-6b8bbe9a0f1b,siding_track,"LINESTRING(-83.82984156069696 41.8137918522524, -83.84178166960264 41.81949067606137)"
e973f953-66f6-45be-a1d2-c39e8309b3ea,c6c1a8f4-7a4f-46d3-839f-9c0e5dc8e7a1,track,"LINESTRING(-83.82984156069696 41.81648678577738, -83.82984156069696 41.81513931901489)"
d37b97b6-0c45-4386-a810-4ed0fd89e563,c6c1a8f4-7a4f-46d3-839f-9c0e5dc8e7a1,track,"LINESTRING(-83.82984156069696 41.8137918522524, -83.82984156069696 41.81513931901489)"
633356d3-b4d8-4f0f-b3c7-df48627d4fee,7b1ac20c-d5cc-4a4a-aa9a-e6e712f020b3,track,"LINESTRING(-83.84178166960264 41.82218560958635, -83.84178166960264 41.82083814282386)"
218ea0a0-a0db-4453-87d5-6b8bbe9a0f1b,7b1ac20c-d5cc-4a4a-aa9a-e6e712f020b3,track,"LINESTRING(-83.84178166960264 41.81949067606137, -83.84178166960264 41.82083814282386)"
a16d18f6-67e8-4540-89b7-9182ae32fff4,a8e4ae72-01b6-4209-8dae-06bc5d9efa20,siding_track,"LINESTRING(-83.82984156069696 41.81783425253986, -83.84178166960264 41.82353307634883)"
af0658cd-7312-4064-905f-ce172d3471be,09f3f269-b8c7-40a9-bb4b-2714ed689bf4,siding_track,"LINESTRING(-83.82984156069696 41.81244438548992, -83.84178166960264 41.81814320929889)"
a16d18f6-67e8-4540-89b7-9182ae32fff4,c6c1a8f4-7a4f-46d3-839f-9c0e5dc8e7a1,track,"LINESTRING(-83.82984156069696 41.81783425253986, -83.82984156069696 41.81513931901489)"
af0658cd-7312-4064-905f-ce172d3471be,c6c1a8f4-7a4f-46d3-839f-9c0e5dc8e7a1,track,"LINESTRING(-83.82984156069696 41.81244438548992, -83.82984156069696 41.81513931901489)"
a8e4ae72-01b6-4209-8dae-06bc5d9efa20,7b1ac20c-d5cc-4a4a-aa9a-e6e712f020b3,track,"LINESTRING(-83.84178166960264 41.82353307634883, -83.84178166960264 41.82083814282386)"
09f3f269-b8c7-40a9-bb4b-2714ed689bf4,7b1ac20c-d5cc-4a4a-aa9a-e6e712f020b3,track,"LINESTRING(-83.84178166960264 41.81814320929889, -83.84178166960264 41.82083814282386)"
c74baa48-bb8b-475d-92ec-22bed24c9beb,1e6fc8c7-eb64-4f2f-876d-d798224f0bcd,main_track,"LINESTRING(-123.1075666966181 44.62244965976102, -123.096377681338 44.63389084835157)"
54d7e51a-16bc-473d-b3ba-a2ce150c53ac,79ac70e8-bde6-4ef6-a273-29f47687de41,siding_track,"LINESTRING(-123.1075666966181 44.623797126523506, -123.096377681338 44.63523831511406)"
