node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry,yard_id,resolution_type
396669,,-90.125633,38.595584,,,0,0.1,0.1,POINT (-90.125633 38.595584),21,Micro
396671,,-90.125444,38.593866,,,0,0.1,0.1,POINT (-90.125444 38.593866),21,Micro
396672,,-90.125283,38.595986,,,0,0.1,0.1,POINT (-90.125283 38.595986),21,Micro
396676,,-90.124995,38.593798,,,0,0.1,0.1,POINT (-90.124995 38.593798),21,Micro
396703,,-90.123499,38.594084,,,0,0.1,0.1,POINT (-90.123499 38.594084),21,Micro
396706,,-90.123444,38.593574,,,0,0.1,0.1,POINT (-90.123444 38.593574),21,Micro
396709,,-90.123214,38.593741,,,0,0.1,0.1,POINT (-90.123214 38.593741),21,Micro
396710,,-90.123159,38.593536,,,0,0.1,0.1,POINT (-90.123159 38.593536),21,Micro
396717,,-90.122318,38.593337,,,0,0.1,0.1,POINT (-90.122318 38.593337),21,Micro
396520,,-90.133163,38.580821,,,0,0.1,0.1,POINT (-90.133163 38.580821),22,Micro
396554,,-90.13194,38.579989,,,0,0.1,0.1,POINT (-90.131940 38.579989),22,Micro
396565,,-90.131396,38.579605,,,0,0.1,0.1,POINT (-90.131396 38.579605),22,Micro
396576,,-90.130819,38.579214,,,0,0.1,0.1,POINT (-90.130819 38.579214),22,Micro
396681,,-90.124708,38.5738,,,0,0.1,0.1,POINT (-90.124708 38.573800),22,Micro
396229,,-90.147687,38.595376,,,0,0.1,0.1,POINT (-90.147687 38.595376),23,Micro
396315,,-90.144546,38.590696,,,0,0.1,0.1,POINT (-90.144546 38.590696),23,Micro
396413,,-90.13954,38.58832,,,0,0.1,0.1,POINT (-90.139540 38.588320),23,Micro
396417,,-90.13921,38.58864,,,0,0.1,0.1,POINT (-90.139210 38.588640),23,Micro
396428,,-90.13832,38.588,,,0,0.1,0.1,POINT (-90.138320 38.588000),23,Micro
396435,,-90.13788,38.58694,,,0,0.1,0.1,POINT (-90.137880 38.586940),23,Micro
396461,,-90.1362,38.58447,,,0,0.1,0.1,POINT (-90.136200 38.584470),23,Micro
396463,,-90.13612,38.5882,,,0,0.1,0.1,POINT (-90.136120 38.588200),23,Micro
396469,,-90.135905,38.582861,,,0,0.1,0.1,POINT (-90.135905 38.582861),23,Micro
396470,,-90.13585,38.58801,,,0,0.1,0.1,POINT (-90.135850 38.588010),23,Micro
396490,,-90.1348,38.588,,,0,0.1,0.1,POINT (-90.134800 38.588000),23,Micro
396511,,-90.133476,38.587059,,,0,0.1,0.1,POINT (-90.133476 38.587059),23,Micro
397119,,-90.089914,38.758966,,,0,0.1,0.1,POINT (-90.089914 38.758966),24,Micro
397120,,-90.089789,38.76119,,,0,0.1,0.1,POINT (-90.089789 38.761190),24,Micro
397121,,-90.089771,38.760862,,,0,0.1,0.1,POINT (-90.089771 38.760862),24,Micro
397122,,-90.08975,38.76169,,,0,0.1,0.1,POINT (-90.089750 38.761690),24,Micro
376185,,-94.423554,35.396682,,,0,0.1,0.1,POINT (-94.423554 35.396682),25,Micro
376186,,-94.423289,35.397006,,,0,0.1,0.1,POINT (-94.423289 35.397006),25,Micro
376205,,-94.419319,35.397531,,,0,0.1,0.1,POINT (-94.419319 35.397531),25,Micro
376221,,-94.414899,35.401492,,,0,0.1,0.1,POINT (-94.414899 35.401492),25,Micro
414673,,-87.637719,41.870173,,,0,0.1,0.1,POINT (-87.637719 41.870173),26,Micro
414678,,-87.637342,41.867322,,,0,0.1,0.1,POINT (-87.637342 41.867322),26,Micro
414686,,-87.637037,41.859032,,,0,0.1,0.1,POINT (-87.637037 41.859032),26,Micro
414687,,-87.637027,41.856963,,,0,0.1,0.1,POINT (-87.637027 41.856963),26,Micro
414691,,-87.63698,41.860187,,,0,0.1,0.1,POINT (-87.636980 41.860187),26,Micro
414702,,-87.636759,41.860536,,,0,0.1,0.1,POINT (-87.636759 41.860536),26,Micro
414710,,-87.636179,41.862078,,,0,0.1,0.1,POINT (-87.636179 41.862078),26,Micro
491071,,-73.740916,42.647754,,,0,0.1,0.1,POINT (-73.740916 42.647754),27,Micro
491072,,-73.740881,42.648019,,,0,0.1,0.1,POINT (-73.740881 42.648019),27,Micro
491073,,-73.740789,42.644261,,,0,0.1,0.1,POINT (-73.740789 42.644261),27,Micro
491074,,-73.740767,42.645308,,,0,0.1,0.1,POINT (-73.740767 42.645308),27,Micro
491075,,-73.740741,42.647558,,,0,0.1,0.1,POINT (-73.740741 42.647558),27,Micro
491076,,-73.740716,42.647268,,,0,0.1,0.1,POINT (-73.740716 42.647268),27,Micro
491078,,-73.74066,42.646345,,,0,0.1,0.1,POINT (-73.740660 42.646345),27,Micro
491079,,-73.740631,42.646656,,,0,0.1,0.1,POINT (-73.740631 42.646656),27,Micro
491080,,-73.74058,42.64607,,,0,0.1,0.1,POINT (-73.740580 42.646070),27,Micro
491081,,-73.740506,42.646937,,,0,0.1,0.1,POINT (-73.740506 42.646937),27,Micro
491082,,-73.74036,42.647538,,,0,0.1,0.1,POINT (-73.740360 42.647538),27,Micro
491083,,-73.740315,42.647403,,,0,0.1,0.1,POINT (-73.740315 42.647403),27,Micro
491084,,-73.740262,42.646986,,,0,0.1,0.1,POINT (-73.740262 42.646986),27,Micro
491085,,-73.74013,42.650434,,,0,0.1,0.1,POINT (-73.740130 42.650434),27,Micro
491086,,-73.740042,42.650261,,,0,0.1,0.1,POINT (-73.740042 42.650261),27,Micro
491087,,-73.739936,42.647107,,,0,0.1,0.1,POINT (-73.739936 42.647107),27,Micro
491090,,-73.739687,42.648287,,,0,0.1,0.1,POINT (-73.739687 42.648287),27,Micro
491092,,-73.739654,42.650825,,,0,0.1,0.1,POINT (-73.739654 42.650825),27,Micro
491093,,-73.739594,42.65077,,,0,0.1,0.1,POINT (-73.739594 42.650770),27,Micro
491094,,-73.739461,42.651055,,,0,0.1,0.1,POINT (-73.739461 42.651055),27,Micro
491095,,-73.739448,42.650775,,,0,0.1,0.1,POINT (-73.739448 42.650775),27,Micro
491096,,-73.739382,42.653016,,,0,0.1,0.1,POINT (-73.739382 42.653016),27,Micro
491097,,-73.739221,42.651413,,,0,0.1,0.1,POINT (-73.739221 42.651413),27,Micro
491098,,-73.739192,42.65314,,,0,0.1,0.1,POINT (-73.739192 42.653140),27,Micro
478994,,-76.52971,39.29915,,,0,0.1,0.1,POINT (-76.529710 39.299150),28,Micro
478998,,-76.529702,39.299523,,,0,0.1,0.1,POINT (-76.529702 39.299523),28,Micro
479017,,-76.526686,39.300107,,,0,0.1,0.1,POINT (-76.526686 39.300107),28,Micro
479084,,-76.510222,39.304739,,,0,0.1,0.1,POINT (-76.510222 39.304739),28,Micro
479095,,-76.508306,39.305289,,,0,0.1,0.1,POINT (-76.508306 39.305289),28,Micro
478919,,-76.547958,39.29746,,,0,0.1,0.1,POINT (-76.547958 39.297460),29,Micro
478980,,-76.531995,39.29879,,,0,0.1,0.1,POINT (-76.531995 39.298790),29,Micro
482144,,-75.705154,39.608665,,,0,0.1,0.1,POINT (-75.705154 39.608665),30,Micro
482146,,-75.704822,39.608551,,,0,0.1,0.1,POINT (-75.704822 39.608551),30,Micro
482148,,-75.704543,39.608483,,,0,0.1,0.1,POINT (-75.704543 39.608483),30,Micro
482172,,-75.694924,39.603904,,,0,0.1,0.1,POINT (-75.694924 39.603904),30,Micro
482173,,-75.694832,39.603406,,,0,0.1,0.1,POINT (-75.694832 39.603406),30,Micro
482179,,-75.694154,39.602471,,,0,0.1,0.1,POINT (-75.694154 39.602471),30,Micro
482184,,-75.693001,39.60211,,,0,0.1,0.1,POINT (-75.693001 39.602110),30,Micro
427476,,-85.567631,42.295448,,,0,0.1,0.1,POINT (-85.567631 42.295448),31,Micro
427498,,-85.557455,42.290845,,,0,0.1,0.1,POINT (-85.557455 42.290845),31,Micro
427507,,-85.556007,42.290236,,,0,0.1,0.1,POINT (-85.556007 42.290236),31,Micro
488337,,-74.151225,40.741336,,,0,0.1,0.1,POINT (-74.151225 40.741336),32,Micro
488344,,-74.15033,40.741441,,,0,0.1,0.1,POINT (-74.150330 40.741441),32,Micro
488360,,-74.149484,40.741571,,,0,0.1,0.1,POINT (-74.149484 40.741571),32,Micro
488390,,-74.14742,40.74169,,,0,0.1,0.1,POINT (-74.147420 40.741690),32,Micro
488394,,-74.147293,40.741572,,,0,0.1,0.1,POINT (-74.147293 40.741572),32,Micro
488416,,-74.146311,40.741536,,,0,0.1,0.1,POINT (-74.146311 40.741536),32,Micro
488437,,-74.145574,40.741916,,,0,0.1,0.1,POINT (-74.145574 40.741916),32,Micro
488446,,-74.145179,40.741577,,,0,0.1,0.1,POINT (-74.145179 40.741577),32,Micro
488581,,-74.140158,40.742259,,,0,0.1,0.1,POINT (-74.140158 40.742259),32,Micro
488594,,-74.139868,40.741612,,,0,0.1,0.1,POINT (-74.139868 40.741612),32,Micro
488631,,-74.138769,40.742144,,,0,0.1,0.1,POINT (-74.138769 40.742144),32,Micro
488634,,-74.138687,40.742019,,,0,0.1,0.1,POINT (-74.138687 40.742019),32,Micro
488643,,-74.138449,40.742215,,,0,0.1,0.1,POINT (-74.138449 40.742215),32,Micro
488646,,-74.138353,40.742138,,,0,0.1,0.1,POINT (-74.138353 40.742138),32,Micro
488655,,-74.137678,40.742365,,,0,0.1,0.1,POINT (-74.137678 40.742365),32,Micro
488659,,-74.137362,40.74243,,,0,0.1,0.1,POINT (-74.137362 40.742430),32,Micro
488663,,-74.137187,40.742565,,,0,0.1,0.1,POINT (-74.137187 40.742565),32,Micro
488664,,-74.137187,40.742516,,,0,0.1,0.1,POINT (-74.137187 40.742516),32,Micro
488685,,-74.136307,40.742569,,,0,0.1,0.1,POINT (-74.136307 40.742569),32,Micro
488751,,-74.132174,40.742953,,,0,0.1,0.1,POINT (-74.132174 40.742953),32,Micro
488339,,-74.151032,40.740907,,,0,0.1,0.1,POINT (-74.151032 40.740907),32,Micro
488340,,-74.150534,40.741268,,,0,0.1,0.1,POINT (-74.150534 40.741268),32,Micro
488357,,-74.149626,40.741258,,,0,0.1,0.1,POINT (-74.149626 40.741258),32,Micro
488365,,-74.149103,40.741166,,,0,0.1,0.1,POINT (-74.149103 40.741166),32,Micro
488373,,-74.148709,40.741076,,,0,0.1,0.1,POINT (-74.148709 40.741076),32,Micro
488518,,-74.141939,40.741571,,,0,0.1,0.1,POINT (-74.141939 40.741571),32,Micro
488526,,-74.141731,40.741603,,,0,0.1,0.1,POINT (-74.141731 40.741603),32,Micro
488541,,-74.141345,40.741628,,,0,0.1,0.1,POINT (-74.141345 40.741628),32,Micro
488560,,-74.140602,40.741538,,,0,0.1,0.1,POINT (-74.140602 40.741538),32,Micro
488567,,-74.140442,40.741805,,,0,0.1,0.1,POINT (-74.140442 40.741805),32,Micro
488604,,-74.139604,40.741852,,,0,0.1,0.1,POINT (-74.139604 40.741852),32,Micro
488641,,-74.138547,40.742062,,,0,0.1,0.1,POINT (-74.138547 40.742062),32,Micro
492435,,-72.67124,41.779817,,,0,0.1,0.1,POINT (-72.671240 41.779817),33,Micro
