ID,YardName,Polygon_WKT,Main_Direction
1141,WEST ALBANY,"POLYGON ((-73.76319053926954 42.67254338094398, -73.76376016811824 42.67187695151501, -73.79132512473277 42.68699306795484, -73.7706307407768 42.67839451617797, -73.76319053926954 42.67254338094398))","((-73.76319053926954, 42.67254338094398), (-73.79132512473277, 42.686993067954845))"
1142,WEST AUGUSTA (CSXT),"POLYGON ((-82.00783646299836 33.458943866138, -82.0080368418365 33.45980706906013, -81.99503647380772 33.46426814436105, -82.00157032139727 33.46059834632597, -82.00783646299836 33.458943866138))","((-82.00783646299836, 33.458943866138), (-81.99503647380772, 33.46426814436105))"
1143,WEST JACKSONVILLE,"POLYGON ((-81.73193197230914 30.32634018971216, -81.73200031383632 30.32723398783304, -81.70534798636834 30.33057773207634, -81.70720444301935 30.32969359265144, -81.73193197230914 30.32634018971216))","((-81.73193197230914, 30.326340189712155), (-81.70534798636834, 30.33057773207634))"
1144,WEST KNOXVILLE,"POLYGON ((-83.93460944767307 35.94603265663881, -83.93801801013943 35.94899178488942, -83.92833406619403 35.94753705359679, -83.92867797392616 35.94697676561469, -83.93460944767307 35.94603265663881))","((-83.93801801013943, 35.94899178488942), (-83.92833406619403, 35.94753705359679))"
1145,WEST LIMA,"POLYGON ((-84.10722384229588 40.72441749030969, -84.10929880475818 40.72355743451, -84.12557168689042 40.72510640409212, -84.12509485199799 40.72553616839099, -84.10722384229588 40.72441749030969))","((-84.10722384229588, 40.72441749030969), (-84.12557168689042, 40.72510640409212))"
1146,WEST SPRINGFIELD,"POLYGON ((-72.61149170764378 42.09575886246703, -72.61534126726966 42.09636697333558, -72.62634137684276 42.10020007390186, -72.60649709124036 42.0976069268464, -72.61149170764378 42.09575886246703))","((-72.62634137684276, 42.10020007390186), (-72.60649709124036, 42.097606926846396))"
1147,WEST TRENTON,"POLYGON ((-74.81409705453676 40.2588805005413, -74.81485198422419 40.25935180861313, -74.81183156432262 40.26355850932956, -74.81159302924587 40.26286693847039, -74.81409705453676 40.2588805005413))","((-74.81409705453676, 40.2588805005413), (-74.81183156432262, 40.26355850932956))"
1148,WEST VA CENTRAL JCT,"POLYGON ((-79.06075631395366 39.47199160757088, -79.06176446329482 39.47182246567156, -79.06690927303504 39.47909102638125, -79.06438734032272 39.47864353565118, -79.06075631395366 39.47199160757088))","((-79.06075631395366, 39.47199160757088), (-79.06690927303504, 39.47909102638125))"
1149,WESTFIELD,"POLYGON ((-72.73182014420362 42.12607158621635, -72.7435484851016 42.1286636931986, -72.74498142471234 42.12983266071708, -72.73075248690219 42.12688814652663, -72.73182014420362 42.12607158621635))","((-72.74498142471234, 42.129832660717085), (-72.73075248690219, 42.12688814652663))"
1150,WIDOWS CREEK,"POLYGON ((-85.76075595395142 34.92632120269189, -85.7613414563354 34.92700248818673, -85.7534481377545 34.93319381688337, -85.75349603033662 34.93256042316269, -85.76075595395142 34.92632120269189))","((-85.7613414563354, 34.92700248818673), (-85.7534481377545, 34.933193816883374))"
1151,WILDWOOD,"POLYGON ((-82.04185413834388 28.86154111273558, -82.04208698686051 28.86356364153522, -82.03649672471906 28.87404279443713, -82.03708630792964 28.87121836209471, -82.04185413834388 28.86154111273558))","((-82.04185413834388, 28.861541112735583), (-82.03649672471906, 28.874042794437134))"
1152,WILLARD,"POLYGON ((-82.72595070032014 41.06064897679357, -82.74976328804449 41.0632241179179, -82.79911639611461 41.07274943896026, -82.75324243425315 41.06744125504007, -82.72595070032014 41.06064897679357))","((-82.72595070032014, 41.06064897679357), (-82.79911639611461, 41.07274943896026))"
1153,WILSMERE,"POLYGON ((-75.61706119992375 39.72956920532459, -75.61858320051083 39.73079453310003, -75.58844018411166 39.73769091517161, -75.59322745780152 39.73308773372314, -75.61706119992375 39.72956920532459))","((-75.61858320051083, 39.73079453310003), (-75.58844018411166, 39.73769091517161))"
1154,WILSON,"POLYGON ((-77.92969892315651 35.68201699821992, -77.92700181496555 35.68984506317786, -77.91694071018954 35.70614417732372, -77.9167555393004 35.70552964243502, -77.92969892315651 35.68201699821992))","((-77.92969892315651, 35.68201699821992), (-77.91694071018954, 35.70614417732372))"
1155,WINSTON,"POLYGON ((-81.98748050962384 28.00072930429787, -81.9895567001448 28.00128400278751, -82.00682493567693 28.02215092977396, -81.9978394019805 28.01461139624879, -81.98748050962384 28.00072930429787))","((-81.98748050962384, 28.000729304297874), (-82.00682493567693, 28.02215092977396))"
1156,WOODBOURNE,"POLYGON ((-74.89675230362639 40.17658659816083, -74.89384150642793 40.18687670686428, -74.89082139316615 40.19108768911271, -74.89057223326137 40.19049440768682, -74.89675230362639 40.17658659816083))","((-74.89675230362639, 40.17658659816083), (-74.89082139316615, 40.191087689112706))"
1157,WOODLAND,"POLYGON ((-67.4046799257888 45.15752926008329, -67.40830808778269 45.15817914290844, -67.41057017881984 45.16226817365239, -67.4099468191398 45.16235007822738, -67.4046799257888 45.15752926008329))","((-67.4046799257888, 45.157529260083294), (-67.41057017881984, 45.16226817365239))"
1158,WSS,"POLYGON ((-80.22888034386622 36.02066227643692, -80.22974977179032 36.02049551766697, -80.23115885691188 36.02730049147612, -80.22961967075462 36.02555401302449, -80.22888034386622 36.02066227643692))","((-80.22888034386622, 36.020662276436916), (-80.23115885691188, 36.02730049147612))"
1159,WYOMING,"POLYGON ((-85.72653240500168 42.93049474861057, -85.71569676904117 42.9376197963165, -85.70939781100699 42.93865888917126, -85.70962148055858 42.93807459517018, -85.72653240500168 42.93049474861057))","((-85.72653240500168, 42.93049474861057), (-85.709397811007, 42.938658889171265))"
1160,WYVERN,"POLYGON ((-84.78587094536969 34.23300120074533, -84.78287373506517 34.23892432159582, -84.77668474734386 34.24484276782363, -84.7766263405599 34.24421245939043, -84.78587094536969 34.23300120074533))","((-84.7858709453697, 34.23300120074533), (-84.77668474734386, 34.24484276782363))"
1161,YANKEE,"POLYGON ((-82.49193093350753 42.84945272367167, -82.49305711572426 42.8507549578641, -82.49282919957902 42.86190395873319, -82.49236476948404 42.86147127568758, -82.49193093350753 42.84945272367167))","((-82.49193093350753, 42.849452723671675), (-82.49282919957902, 42.86190395873319))"
1162,YEMASEE,"POLYGON ((-80.8583082826152 32.67368188045805, -80.8589560564522 32.67430110240771, -80.84778177167294 32.68706041192126, -80.84930723617229 32.68410140271816, -80.8583082826152 32.67368188045805))","((-80.8583082826152, 32.67368188045805), (-80.84778177167294, 32.68706041192126))"
1163,YEOMAN,"POLYGON ((-82.38075800530319 27.95373607015499, -82.39604813516561 27.95533249237067, -82.39644367764355 27.95582040931233, -82.37167994347814 27.95454631908996, -82.38075800530319 27.95373607015499))","((-82.39644367764355, 27.95582040931233), (-82.37167994347814, 27.954546319089964))"
1164,PENN MARY,"POLYGON ((-76.55407045869302 39.26673213327157, -76.55533304398519 39.26747615835882, -76.55474893216324 39.27212648237351, -76.55425481361915 39.2717395895508, -76.55407045869302 39.26673213327157))","((-76.55407045869302, 39.26673213327157), (-76.55474893216324, 39.27212648237351))"
1165,PENN MARY (CTN),"POLYGON ((-76.55358984386642 39.2661004874092, -76.55579532212622 39.26729454139871, -76.55485143854946 39.27230755051893, -76.55431173518988 39.27196830888561, -76.55358984386642 39.2661004874092))","((-76.55358984386642, 39.266100487409204), (-76.55485143854946, 39.27230755051893))"
1166,SEAGIRT MARINE TERMINAL,"POLYGON ((-76.5409999999286 39.2558408443859, -76.55291730503107 39.2623471483363, -76.55365484614242 39.26495744951691, -76.53895040057684 39.25736199553961, -76.5409999999286 39.2558408443859))","((-76.55365484614242, 39.26495744951691), (-76.53895040057684, 39.25736199553961))"
1167,BRADY,"POLYGON ((-99.333161550611 31.1386076303706, -99.33860669876357 31.13876142457767, -99.33899539609415 31.13926575647361, -99.3288387127496 31.13936367254327, -99.333161550611 31.1386076303706))","((-99.33899539609415, 31.139265756473606), (-99.3288387127496, 31.139363672543272))"
1168,NEWARK,"POLYGON ((-82.38283325492252 40.05434718847637, -82.39489600701758 40.05668792844062, -82.3648614789728 40.05831193026494, -82.365213046074 40.05778653558751, -82.38283325492252 40.05434718847637))","((-82.39489600701758, 40.05668792844062), (-82.3648614789728, 40.05831193026494))"
1169,NEWARK WEST,"POLYGON ((-82.40883626542035 40.05250108484797, -82.40903647213099 40.05337546573623, -82.39601407590894 40.05664331013084, -82.40141281820206 40.05423668194046, -82.40883626542035 40.05250108484797))","((-82.40883626542035, 40.05250108484797), (-82.39601407590894, 40.05664331013084))"
1170,SANTANTA,"POLYGON ((-100.9977998817104 37.4370647758791, -100.9907053089306 37.44050321610933, -100.9780323926681 37.44398388431808, -100.9783206436706 37.44342502728279, -100.9977998817104 37.4370647758791))","((-100.99779988171042, 37.4370647758791), (-100.97803239266813, 37.44398388431808))"
1171,3RD ST,"POLYGON ((-81.67670055020396 41.46512110483589, -81.67753078100884 41.46542626752471, -81.67476926831424 41.47838725500208, -81.67326244005919 41.47162844477748, -81.67670055020396 41.46512110483589))","((-81.67670055020396, 41.46512110483589), (-81.67476926831424, 41.478387255002076))"
1172,CLEVELAND STEEL MILL,"POLYGON ((-81.68421216656857 41.45494808514378, -81.68640665355262 41.45856758711473, -81.68497239930859 41.46307245249531, -81.68231732196668 41.46171509025437, -81.68421216656857 41.45494808514378))","((-81.68421216656857, 41.454948085143776), (-81.68497239930859, 41.46307245249531))"
1173,WALLA WALLA,"POLYGON ((-118.3527993204844 46.06910005794273, -118.3538577939958 46.07341426229846, -118.3518030063763 46.07523250704848, -118.3514353604221 46.07472647188959, -118.3527993204844 46.06910005794273))","((-118.35279932048441, 46.06910005794273), (-118.35180300637631, 46.07523250704848))"
1174,MOCKINGBIRD,"POLYGON ((-96.87334609313261 32.81388420269063, -96.87336368720467 32.81298608269879, -96.90077994033051 32.8141363727667, -96.89991442792211 32.81457695652693, -96.87334609313261 32.81388420269063))","((-96.87336368720467, 32.812986082698785), (-96.90077994033051, 32.814136372766704))"
1175,ZUG ISLAND,"POLYGON ((-83.11445190710995 42.27889333597913, -83.11324966651098 42.2861549577315, -83.10934747565129 42.288610904972, -83.11007913175057 42.28577509656792, -83.11445190710995 42.27889333597913))","((-83.11445190710995, 42.27889333597913), (-83.10934747565129, 42.288610904971996))"
1176,CARROLLTON,"POLYGON ((-96.90715901799959 32.95523098368174, -96.89110656534415 32.96412107966941, -96.88022061795022 32.9627170967104, -96.88053812734165 32.96215671846698, -96.90715901799959 32.95523098368174))","((-96.90715901799959, 32.955230983681744), (-96.88022061795022, 32.9627170967104))"
1177,MOCKINGBIRD,"POLYGON ((-96.87799582642535 32.81245352120545, -96.90036279668834 32.81366613287653, -96.90077856866434 32.81415567111405, -96.86614511307813 32.81330578761965, -96.87799582642535 32.81245352120545))","((-96.90077856866434, 32.81415567111405), (-96.86614511307813, 32.813305787619655))"
1178,SHERMAN (DGNO),"POLYGON ((-96.60632060587707 33.63968819104489, -96.60956239215977 33.6406838982879, -96.60424816581364 33.64349391999702, -96.60416745571257 33.64203218315245, -96.60632060587707 33.63968819104489))","((-96.60956239215977, 33.6406838982879), (-96.60424816581364, 33.64349391999702))"
1179,DECATUR (CSXT),"POLYGON ((-88.92934891896672 39.84720918102855, -88.92958642572646 39.84636422474014, -88.94097379180903 39.84758152888653, -88.93377990875287 39.84818870619803, -88.92934891896672 39.84720918102855))","((-88.92934891896672, 39.847209181028546), (-88.94097379180903, 39.84758152888653))"
1180,FICKLIN,"POLYGON ((-88.3138620201874 39.79909483616359, -88.31389564635039 39.79819775442287, -88.32849248926485 39.79868137858681, -88.32649985199971 39.79932733832532, -88.3138620201874 39.79909483616359))","((-88.3138620201874, 39.79909483616359), (-88.32849248926485, 39.79868137858681))"
1181,MIDLAND,"POLYGON ((-87.72681607531328 39.60573075326192, -87.72085446426119 39.60844144523521, -87.71006653587055 39.61034855802545, -87.71039417572518 39.60980375312631, -87.72681607531328 39.60573075326192))","((-87.72681607531328, 39.605730753261916), (-87.71006653587055, 39.61034855802545))"
1182,RED BANK,"POLYGON ((-74.07147340253655 40.34176476938337, -74.07280292094281 40.34295459304974, -74.07276140490418 40.34674526205786, -74.07170977891975 40.34542233393734, -74.07147340253655 40.34176476938337))","((-74.07147340253655, 40.341764769383374), (-74.07276140490418, 40.34674526205786))"
1183,SIOUX FALLS (EE),"POLYGON ((-96.71953461464744 43.54658179785723, -96.72250383701018 43.55016825915938, -96.72236002383114 43.55226596495774, -96.72178195660032 43.55207447509682, -96.71953461464744 43.54658179785723))","((-96.71953461464744, 43.54658179785723), (-96.72236002383114, 43.55226596495774))"
1184,MINIDOKA,"POLYGON ((-113.512071780178 42.74149402089242, -113.5047583286581 42.74926356320806, -113.4963848401038 42.7553936010943, -113.496432054488 42.75475486427773, -113.512071780178 42.74149402089242))","((-113.51207178017799, 42.741494020892425), (-113.49638484010377, 42.7553936010943))"
1185,RUPERT,"POLYGON ((-113.6638573255465 42.62159793726366, -113.662673077337 42.62379813891198, -113.6472514263087 42.63422833134454, -113.6476912921018 42.63322284511331, -113.6638573255465 42.62159793726366))","((-113.66385732554653, 42.62159793726366), (-113.64725142630874, 42.634228331344545))"
1186,TWIN FALLS,"POLYGON ((-114.4622705242387 42.54932701085159, -114.4625002176358 42.54845974570438, -114.4753465603136 42.55199513463197, -114.4715695356746 42.55168748938645, -114.4622705242387 42.54932701085159))","((-114.4622705242387, 42.54932701085159), (-114.47534656031358, 42.551995134631966))"
1187,AVONDALE YARD,"POLYGON ((-75.77873695851842 39.82214156251059, -75.77900675698761 39.82345882344904, -75.77407480462833 39.82406576136977, -75.77592638373143 39.82277981082862, -75.77873695851842 39.82214156251059))","((-75.77873695851842, 39.82214156251059), (-75.77407480462833, 39.82406576136977))"
1188,MODENA,"POLYGON ((-75.80240336108064 39.96392323378101, -75.81737873496284 39.96651455365513, -75.8184273606622 39.9688883747973, -75.80553737050039 39.97014648171952, -75.80240336108064 39.96392323378101))","((-75.80240336108064, 39.96392323378101), (-75.8184273606622, 39.9688883747973))"
1189,YORK (NS),"POLYGON ((-76.72176542295405 39.97491758077939, -76.7226267718062 39.97511775366344, -76.72105950720314 39.98268702163599, -76.72008552676863 39.98058621183525, -76.72176542295405 39.97491758077939))","((-76.72176542295405, 39.97491758077939), (-76.72105950720314, 39.98268702163599))"
1190,JOHNSON CITY,"POLYGON ((-82.34923640537419 36.31606415051655, -82.34796738992779 36.31714060017173, -82.3423415591291 36.31686979987664, -82.34272252082614 36.3163927249127, -82.34923640537419 36.31606415051655))","((-82.34923640537419, 36.316064150516546), (-82.3423415591291, 36.31686979987664))"
1191,MT VERNON,"POLYGON ((-87.90841070538602 37.94282989876096, -87.9095584550993 37.94577657417971, -87.90861742936767 37.95774169467455, -87.90798089206531 37.95695230597136, -87.90841070538602 37.94282989876096))","((-87.90841070538602, 37.94282989876096), (-87.90861742936767, 37.95774169467455))"
1192,FCR,"POLYGON ((-84.52691460809933 33.73884196643061, -84.52708345471051 33.73796609748434, -84.53791900098511 33.73954581643564, -84.52993639911747 33.73961789701609, -84.52691460809933 33.73884196643061))","((-84.52691460809933, 33.738841966430606), (-84.53791900098511, 33.73954581643564))"
1193,FERNANDINA BEACH,"POLYGON ((-81.46343701276705 30.66274038956076, -81.46587104545134 30.66574586299849, -81.4651103663625 30.67047918038047, -81.46455822569011 30.67012006173515, -81.46343701276705 30.66274038956076))","((-81.46343701276705, 30.662740389560764), (-81.4651103663625, 30.67047918038047))"
1194,BOWDEN,"POLYGON ((-81.59046874211489 30.22345054137131, -81.59123703979321 30.22298986598268, -81.61722071079687 30.26065628448079, -81.60851508999923 30.2518622200882, -81.59046874211489 30.22345054137131))","((-81.5904687421149, 30.223450541371314), (-81.61722071079687, 30.26065628448079))"
1195,CANAVERAL,"POLYGON ((-80.80969104397479 28.65116624966045, -80.80976560964329 28.65027327800435, -80.8181607178617 28.65092383894799, -80.81770710723106 28.65140132864122, -80.80969104397479 28.65116624966045))","((-80.8096910439748, 28.65116624966045), (-80.8181607178617, 28.65092383894799))"
1196,COCOA-ROCKLEDGE,"POLYGON ((-80.72926064085897 28.34472505781148, -80.73012080424715 28.34449707675091, -80.7316988185049 28.35010382635953, -80.73040224438515 28.34914352641705, -80.72926064085897 28.34472505781148))","((-80.72926064085897, 28.344725057811477), (-80.7316988185049, 28.350103826359533))"
1197,FORT LAUDERDALE,"POLYGON ((-80.13981485143499 26.08415079246593, -80.14091138165897 26.08484021474662, -80.14178101059017 26.09127296525378, -80.14064758233603 26.08942801804947, -80.13981485143499 26.08415079246593))","((-80.13981485143499, 26.08415079246593), (-80.14178101059017, 26.09127296525378))"
1198,FORT PIERCE,"POLYGON ((-80.31362611675681 27.41711258049506, -80.31448913447805 27.41687623201489, -80.32417619981987 27.44540258406125, -80.31846926793081 27.4314742446728, -80.31362611675681 27.41711258049506))","((-80.31362611675681, 27.41711258049506), (-80.32417619981987, 27.445402584061245))"
1199,FRONTENAC,"POLYGON ((-80.7859991948943 28.51439780077819, -80.78881166766163 28.51724019041027, -80.79083194907852 28.52755155770967, -80.79025765310871 28.52726852973679, -80.7859991948943 28.51439780077819))","((-80.7859991948943, 28.51439780077819), (-80.79083194907852, 28.527551557709668))"
1200,FT PIERCE,"POLYGON ((-80.31450524144523 27.42021199128052, -80.32237305437647 27.42527976993669, -80.32400963079574 27.44483473696678, -80.3234321098749 27.44457047540605, -80.31450524144523 27.42021199128052))","((-80.31450524144523, 27.42021199128052), (-80.32400963079574, 27.444834736966783))"
1201,HIALEAH (FEC),"POLYGON ((-80.30772261838192 25.79784759890132, -80.3100091269916 25.8340671208206, -80.30575915621441 25.83935215590565, -80.30531113094364 25.81673396802967, -80.30772261838192 25.79784759890132))","((-80.30772261838192, 25.79784759890132), (-80.3057591562144, 25.83935215590565))"
1202,JACKSONVILLE,"POLYGON ((-81.67341797504253 30.32733584175682, -81.68201961791139 30.33127121580028, -81.68607295853135 30.33494623761615, -81.68231641644391 30.3347683488928, -81.67341797504253 30.32733584175682))","((-81.67341797504253, 30.327335841756824), (-81.68607295853135, 30.33494623761615))"
1203,NEW SMYRNA BEACH,"POLYGON ((-80.91790561255225 29.00427883336978, -80.92459364423819 29.01120771260453, -80.92712547910234 29.02326057296148, -80.92622964990224 29.02273126625872, -80.91790561255225 29.00427883336978))","((-80.91790561255225, 29.004278833369778), (-80.92712547910234, 29.023260572961483))"
1204,PORT EVERGLADES ICTF,"POLYGON ((-80.12903417016805 26.06040042530246, -80.13040040854757 26.08203304520917, -80.12868069368058 26.08264082158655, -80.12577596632603 26.06373947359208, -80.12903417016805 26.06040042530246))","((-80.12903417016805, 26.06040042530246), (-80.12868069368058, 26.082640821586555))"
1205,PORT OF PALM BEACH,"POLYGON ((-80.05606342008666 26.76714651281525, -80.05926706389916 26.76719809657659, -80.06116805244496 26.76874689412234, -80.0547916082981 26.76783164151454, -80.05606342008666 26.76714651281525))","((-80.06116805244496, 26.768746894122337), (-80.0547916082981, 26.767831641514537))"
1206,WEST PALM BEACH,"POLYGON ((-80.05625008022919 26.72603235956856, -80.05926475556723 26.73128334208564, -80.05807329684605 26.73518409378638, -80.057561637612 26.73480643240906, -80.05625008022919 26.72603235956856))","((-80.05625008022919, 26.726032359568556), (-80.05807329684605, 26.735184093786383))"
1207,CHATTAHOOCHEE,"POLYGON ((-84.85022320553323 30.68119397408983, -84.85325171905741 30.682496424306, -84.8405262180426 30.68600719983814, -84.84374567518181 30.68233863122779, -84.85022320553323 30.68119397408983))","((-84.85325171905741, 30.682496424305995), (-84.8405262180426, 30.68600719983814))"
1208,CHATTAHOOCHEE (CSXT),"POLYGON ((-84.84672296916014 30.68152581852196, -84.8512526026134 30.68264130170243, -84.8405508997981 30.68604744075492, -84.8432059495758 30.68294099414511, -84.84672296916014 30.68152581852196))","((-84.8512526026134, 30.68264130170243), (-84.8405508997981, 30.686047440754923))"
1209,TALLAHASSEE,"POLYGON ((-84.31026226749766 30.42747649295237, -84.33067426222874 30.42942656172796, -84.33107851589089 30.42991735968711, -84.31365009453704 30.42911637360388, -84.31026226749766 30.42747649295237))","((-84.31026226749766, 30.427476492952366), (-84.3310785158909, 30.42991735968711))"
1210,KENDAIA,"POLYGON ((-76.86806566029198 42.70664221382841, -76.86987627889776 42.70689687206358, -76.87773834756445 42.71519435505154, -76.87645486323699 42.71469696582781, -76.86806566029198 42.70664221382841))","((-76.86806566029198, 42.70664221382841), (-76.87773834756445, 42.71519435505154))"
1211,SOLVAY,"POLYGON ((-76.21587620392273 43.06252266531108, -76.2086015518196 43.06652267163282, -76.19828336836368 43.06352916315024, -76.19871808734862 43.06306981482588, -76.21587620392273 43.06252266531108))","((-76.21587620392273, 43.06252266531108), (-76.19828336836368, 43.06352916315024))"
1212,CLINTON,"POLYGON ((-98.98577862021088 35.50848675053718, -98.98444364868928 35.51281143639321, -98.97883529628614 35.51613477701664, -98.97881165248158 35.51547863185148, -98.98577862021088 35.50848675053718))","((-98.98577862021088, 35.50848675053718), (-98.97883529628614, 35.51613477701664))"
1213,WELON,"POLYGON ((-99.34466160549158 34.63923908007123, -99.34555380570093 34.63929173691596, -99.34473731365654 34.64649116619648, -99.34419426844975 34.64407305328455, -99.34466160549158 34.63923908007123))","((-99.34466160549158, 34.639239080071235), (-99.34473731365654, 34.646491166196476))"
1214,RHINELANDER,"POLYGON ((-89.41438701881206 45.64291300915846, -89.41504024254273 45.64352384395153, -89.40817047340472 45.65141157762508, -89.408748256176 45.64971211139587, -89.41438701881206 45.64291300915846))","((-89.41438701881206, 45.642913009158455), (-89.40817047340472, 45.651411577625076))"
1215,WAUSAU YARD,"POLYGON ((-89.60183439875433 44.93535636668945, -89.60249629978939 44.93477666471119, -89.61351517796379 44.94408908793778, -89.61288827616792 44.94417518970132, -89.60183439875433 44.93535636668945))","((-89.60183439875433, 44.93535636668945), (-89.61351517796379, 44.944089087937776))"
1216,YARD LEAD YARD,"POLYGON ((-89.662803587095 44.95344223856612, -89.66176603440266 44.95459394800245, -89.65580836386658 44.95493294155794, -89.65657377087128 44.9542292036602, -89.662803587095 44.95344223856612))","((-89.662803587095, 44.95344223856612), (-89.65580836386658, 44.95493294155794))"
1217,CROSSETT,"POLYGON ((-91.9593342074125 33.14009324826164, -91.95991201951702 33.13953917054894, -91.97209828417843 33.14426096446712, -91.96929155654345 33.14628325759016, -91.9593342074125 33.14009324826164))","((-91.9593342074125, 33.140093248261635), (-91.97209828417843, 33.14426096446712))"
1218,FORDYCE,"POLYGON ((-92.40999332199813 33.81425801432047, -92.41380935395959 33.81863416874042, -92.41588697335642 33.83523910913119, -92.41534367974553 33.83491586653157, -92.40999332199813 33.81425801432047))","((-92.40999332199813, 33.81425801432047), (-92.41588697335642, 33.835239109131194))"
1219,FORE RIVER SHIPYARD,"POLYGON ((-70.97752309041778 42.24061933237817, -70.97631866451889 42.24339233476476, -70.972184648612 42.24335537137134, -70.97380107308146 42.2413723934885, -70.97752309041778 42.24061933237817))","((-70.97752309041778, 42.240619332378174), (-70.972184648612, 42.24335537137134))"
1220,FORT CHAFFEE,"POLYGON ((-94.27791358399377 35.31691324889021, -94.28604714003647 35.3182993792366, -94.28640009243712 35.31882977237239, -94.27683551253001 35.31771582500183, -94.27791358399377 35.31691324889021))","((-94.28640009243712, 35.31882977237239), (-94.27683551253001, 35.317715825001834))"
1221,FORT SMITH (FSR),"POLYGON ((-94.42667454868908 35.37043243531197, -94.42833301164552 35.37656869736488, -94.42692468148162 35.38263891532948, -94.42614042449311 35.3799115680185, -94.42667454868908 35.37043243531197))","((-94.42667454868908, 35.37043243531197), (-94.42692468148162, 35.38263891532948))"
1222,ARSENAL,"POLYGON ((-90.20542752436126 38.59111139015085, -90.20572083082816 38.59191832030055, -90.19926646830153 38.59623529028419, -90.20269147054908 38.59190065661851, -90.20542752436126 38.59111139015085))","((-90.20542752436126, 38.59111139015085), (-90.19926646830153, 38.59623529028419))"
1223,8TH AVENUE,"POLYGON ((-97.34540823569262 32.70805320329396, -97.34607412172876 32.7131111240901, -97.3441132180662 32.72210618818346, -97.34356698540077 32.71578105262689, -97.34540823569262 32.70805320329396))","((-97.34540823569262, 32.70805320329396), (-97.3441132180662, 32.72210618818346))"
1224,CARROLLTON,"POLYGON ((-96.90715420152418 32.95551470743415, -96.90784407935004 32.95579635156352, -96.90735023584972 32.95642843423535, -96.90681760050933 32.95608304693975, -96.90715420152418 32.95551470743415))","((-96.90784407935004, 32.95579635156352), (-96.90681760050933, 32.956083046939746))"
1225,HODGE,"POLYGON ((-97.31269646737931 32.79700086350504, -97.32600474166163 32.80649160631523, -97.30848296326643 32.81357876555509, -97.31147952248438 32.79915600956516, -97.31269646737931 32.79700086350504))","((-97.32600474166163, 32.806491606315234), (-97.30848296326643, 32.81357876555509))"
1226,GWINNETT STREET,"POLYGON ((-81.11703484269498 32.07581349312478, -81.12666605573489 32.07772387324597, -81.12911854910179 32.07906389213947, -81.12227550508149 32.07802639759659, -81.11703484269498 32.07581349312478))","((-81.11703484269498, 32.07581349312478), (-81.12911854910179, 32.079063892139466))"
1227,MACON,"POLYGON ((-83.61291957484228 32.82717079039982, -83.61472495166201 32.82742530552143, -83.61943999612343 32.8346897884874, -83.6188101029867 32.83467056915711, -83.61291957484228 32.82717079039982))","((-83.61291957484228, 32.82717079039982), (-83.61943999612343, 32.8346897884874))"
1228,CK&S,"POLYGON ((-85.57590306934969 42.30454266566393, -85.57679320307335 42.30460161435305, -85.57622331041034 42.30975392140959, -85.57575795188279 42.30932928178859, -85.57590306934969 42.30454266566393))","((-85.57590306934969, 42.30454266566393), (-85.57622331041034, 42.309753921409595))"
1229,HUGHART,"POLYGON ((-85.68093931927164 42.92618922956461, -85.68136229503484 42.93130924984634, -85.67631381131636 42.940918190691, -85.67691489338259 42.93678796439446, -85.68093931927164 42.92618922956461))","((-85.68093931927164, 42.926189229564606), (-85.67631381131636, 42.940918190691))"
1230,GETTYSBURG,"POLYGON ((-77.23909088704441 39.83341284326339, -77.24577565712964 39.83587054289104, -77.24222437842043 39.84031391089731, -77.24162025220809 39.8401116104704, -77.23909088704441 39.83341284326339))","((-77.23909088704441, 39.83341284326339), (-77.24222437842043, 39.840313910897315))"
1231,ALBANY (GFRR),"POLYGON ((-84.12594403322204 31.57594508434411, -84.13505165244611 31.57527265936637, -84.14233575625721 31.57693760987635, -84.1293061190335 31.57662489348061, -84.12594403322204 31.57594508434411))","((-84.12594403322204, 31.575945084344106), (-84.14233575625721, 31.576937609876353))"
1232,DOSAGA,"POLYGON ((-84.10320112651857 31.5544536520194, -84.10634800630655 31.55611861717835, -84.11052200897372 31.56187825933977, -84.10985992179977 31.56187129313241, -84.10320112651857 31.5544536520194))","((-84.10320112651857, 31.554453652019404), (-84.11052200897372, 31.56187825933977))"
1233,FIRESTONE,"POLYGON ((-84.05334061489499 31.55748144642718, -84.06478765818301 31.55837418295541, -84.06834111071191 31.55951507183752, -84.05051772185594 31.55862882355051, -84.05334061489499 31.55748144642718))","((-84.06834111071191, 31.559515071837524), (-84.05051772185594, 31.558628823550507))"
1234,PERRY,"POLYGON ((-83.5273367735538 30.07004372737027, -83.52818685159409 30.07053324863774, -83.52661325259578 30.07683263131102, -83.52634383385366 30.07367515551537, -83.5273367735538 30.07004372737027))","((-83.5273367735538, 30.07004372737027), (-83.52661325259578, 30.076832631311024))"
1235,MYDHARRIS,"POLYGON ((-81.54150408174611 31.12062464756777, -81.5433020390455 31.12119218476492, -81.54650639035083 31.12885776466311, -81.54550891061376 31.12816532671183, -81.54150408174611 31.12062464756777))","((-81.54150408174611, 31.12062464756777), (-81.54650639035083, 31.12885776466311))"
