ID,YardName,Polygon_WKT,Main_Direction
55,BIRCHWOOD,"POLYGON ((-149.5127390757136 61.40403284624058, -149.5094820782562 61.41335953175743, -149.4953503102737 61.41843188207661, -149.4954205218266 61.41779838529558, -149.5127390757136 61.40403284624058))","((-149.51273907571363, 61.404032846240575), (-149.4953503102737, 61.41843188207661))"
56,FAIRBANKS,"POLYGON ((-147.7646035061572 64.85032078256698, -147.7646895824333 64.84942725250964, -147.7975478142364 64.85195273054427, -147.7859489027771 64.85200976128567, -147.7646035061572 64.85032078256698))","((-147.76460350615724, 64.85032078256698), (-147.79754781423642, 64.85195273054427))"
57,HEALY,"POLYGON ((-148.9672208264255 63.8583416657228, -148.9748199282263 63.86402922843823, -148.9785788644606 63.87433998989736, -148.9779511917145 63.87422206119111, -148.9672208264255 63.8583416657228))","((-148.96722082642552, 63.858341665722804), (-148.97857886446064, 63.874339989897365))"
58,NENANA,"POLYGON ((-149.100751949945 64.5583493750834, -149.1015823679914 64.55805103399918, -149.1034809627162 64.56307327141607, -149.1022603002262 64.56222700471788, -149.100751949945 64.5583493750834))","((-149.10075194994496, 64.5583493750834), (-149.10348096271622, 64.56307327141607))"
59,PORTAGE,"POLYGON ((-148.9501760584941 60.82567605119387, -148.9542959463042 60.82614243454347, -148.9716610745438 60.83417801975981, -148.9710752342221 60.83441484511906, -148.9501760584941 60.82567605119387))","((-148.95017605849412, 60.82567605119387), (-148.97166107454385, 60.83417801975981))"
60,SEWARD,"POLYGON ((-149.4283700496465 60.12271817633668, -149.4261503333481 60.13388450047194, -149.4218227066845 60.13788824351782, -149.4216074127125 60.13729321528027, -149.4283700496465 60.12271817633668))","((-149.42837004964653, 60.122718176336676), (-149.42182270668448, 60.13788824351782))"
61,WHITTIER,"POLYGON ((-148.6808996051268 60.77439130772515, -148.6943502362775 60.77603526583321, -148.6947410730635 60.77653799603132, -148.6682340470912 60.77829706937915, -148.6808996051268 60.77439130772515))","((-148.69474107306348, 60.776537996031315), (-148.6682340470912, 60.77829706937915))"
62,PARKER YARD,"POLYGON ((-114.2842460412163 34.14483789830406, -114.2850096125059 34.1443741650482, -114.288111292442 34.15022801342413, -114.2861779788364 34.1485365150785, -114.2842460412163 34.14483789830406))","((-114.28424604121632, 34.14483789830406), (-114.28811129244204, 34.150228013424126))"
63,WATONGA,"POLYGON ((-98.41849103938263 35.84113673233828, -98.41938648066503 35.84110106256152, -98.41905983418997 35.84740086019484, -98.4184338799131 35.84576424508275, -98.41849103938263 35.84113673233828))","((-98.41938648066503, 35.84110106256152), (-98.41905983418997, 35.84740086019484))"
64,ALABAMA CITY,"POLYGON ((-86.07175650591911 34.01859128370941, -86.06819532731382 34.0199420403309, -86.053550918772 34.01961474660226, -86.05448268647821 34.01899139605361, -86.07175650591911 34.01859128370941))","((-86.07175650591911, 34.01859128370941), (-86.053550918772, 34.01961474660226))"
65,GLENWOOD,"POLYGON ((-79.9394599636677 40.39830517280241, -79.9447683132253 40.39980352901028, -79.95108612126397 40.40970709439986, -79.93484610259355 40.39960484227573, -79.9394599636677 40.39830517280241))","((-79.95108612126397, 40.409707094399856), (-79.93484610259355, 40.39960484227573))"
66,KENNEY,"POLYGON ((-79.92841701010457 40.39562535045293, -79.92906746633132 40.39621120636511, -79.92760621068621 40.39705294920412, -79.92743108290378 40.39644428832487, -79.92841701010457 40.39562535045293))","((-79.92906746633132, 40.39621120636511), (-79.9276062106862, 40.397052949204124))"
67,SHARPSBURG (AVR),"POLYGON ((-79.90627001963632 40.49038696391886, -79.90858523153732 40.48992598169628, -79.9173072290088 40.49322392345444, -79.90949704326016 40.49201688212857, -79.90627001963632 40.49038696391886))","((-79.90627001963632, 40.49038696391886), (-79.9173072290088, 40.493223923454444))"
68,VERONA,"POLYGON ((-79.84428648596155 40.50424466370318, -79.84539002882764 40.50531715816656, -79.84406728571828 40.51077040786836, -79.84362218090844 40.51031631697968, -79.84428648596155 40.50424466370318))","((-79.84428648596155, 40.50424466370318), (-79.84406728571828, 40.510770407868364))"
69,GARDEN CITY #1,"POLYGON ((-81.14638151989236 32.114890220043, -81.1471485918689 32.11753899002812, -81.14553602419005 32.12339139723494, -81.14512350265363 32.12291794256683, -81.14638151989236 32.114890220043))","((-81.14638151989236, 32.114890220043), (-81.14553602419005, 32.12339139723494))"
70,LOWER MIAMI YARD,"POLYGON ((-110.8559311447941 33.40567583626824, -110.8532397522106 33.40860897999465, -110.8481895059741 33.4095466155183, -110.8483646301367 33.40893487757334, -110.8559311447941 33.40567583626824))","((-110.85593114479408, 33.405675836268244), (-110.84818950597415, 33.4095466155183))"
71,ANACONDA,"POLYGON ((-112.9600999420233 46.13209028912321, -112.9643352336515 46.13136990010393, -112.966988164082 46.13305774767125, -112.9664909533494 46.13345849136299, -112.9600999420233 46.13209028912321))","((-112.96009994202329, 46.13209028912321), (-112.96698816408204, 46.13305774767125))"
72,EAST ANACONDA,"POLYGON ((-112.9199069010085 46.12062829713489, -112.9329353252938 46.12246704538414, -112.9358215106513 46.12419447841558, -112.9352782199735 46.1245115780476, -112.9199069010085 46.12062829713489))","((-112.91990690100849, 46.12062829713489), (-112.93582151065128, 46.12419447841558))"
73,PANAMA CITY,"POLYGON ((-85.64439825125505 30.18579811555345, -85.64491780957637 30.18653093077787, -85.63343735985885 30.19411423658353, -85.63354063495058 30.19348899279258, -85.64439825125505 30.18579811555345))","((-85.64491780957637, 30.186530930777874), (-85.63343735985885, 30.194114236583534))"
74,SHERMAN,"POLYGON ((-85.6462794773193 30.18472861287762, -85.64675978805182 30.18548646007991, -85.63235225024746 30.19509648996449, -85.63505017834784 30.19218346485424, -85.6462794773193 30.18472861287762))","((-85.6462794773193, 30.18472861287762), (-85.63235225024746, 30.195096489964488))"
75,BCR,"POLYGON ((-76.18368289616878 36.90303610902289, -76.18444890887911 36.90350091033655, -76.17877350934364 36.91367102697377, -76.18048286790685 36.90797172599253, -76.18368289616878 36.90303610902289))","((-76.18368289616878, 36.903036109022885), (-76.17877350934364, 36.913671026973766))"
76,EAST CHARLOTTESVILLE,"POLYGON ((-78.46861711565064 38.02447257291652, -78.46906357135258 38.02372509065727, -78.49339593931661 38.0314366029208, -78.47445209552168 38.02869381151837, -78.46861711565064 38.02447257291652))","((-78.46861711565064, 38.02447257291652), (-78.49339593931661, 38.0314366029208))"
77,CLIQUOT,"POLYGON ((-71.35691133796858 42.16907867908834, -71.35655236013812 42.1704327626941, -71.35278270210422 42.17186754158695, -71.35290177051293 42.17124037551838, -71.35691133796858 42.16907867908834))","((-71.35691133796858, 42.16907867908834), (-71.35278270210422, 42.17186754158695))"
78,CAPE CHARLES,"POLYGON ((-76.00998204117002 37.26649945213441, -76.0075777486193 37.26801156727818, -75.99285324649287 37.26953640422055, -75.99489052856708 37.26870208704285, -76.00998204117002 37.26649945213441))","((-76.00998204117002, 37.26649945213441), (-75.99285324649287, 37.26953640422055))"
79,PHILLIPSBURG,"POLYGON ((-75.1784303527662 40.68015011977158, -75.17873912492998 40.6793252360852, -75.18703087397128 40.68126054821489, -75.18315810615299 40.68179326225574, -75.1784303527662 40.68015011977158))","((-75.1784303527662, 40.68015011977158), (-75.18703087397128, 40.68126054821489))"
80,FOREBAY,"POLYGON ((-116.980003654379 46.4214145939319, -116.9739161441695 46.42385563261166, -116.9430910945013 46.42646550229711, -116.9632840326236 46.42243709310883, -116.980003654379 46.4214145939319))","((-116.980003654379, 46.4214145939319), (-116.94309109450134, 46.426465502297106))"
81,LEWISTON,"POLYGON ((-116.999317727711 46.41678129973155, -116.9867789802883 46.42238885274963, -116.9795975660717 46.42198058070126, -116.9799216822445 46.42142727360056, -116.999317727711 46.41678129973155))","((-116.99931772771104, 46.416781299731554), (-116.97959756607173, 46.42198058070126))"
82,BROOKHAVEN RAIL TERMINAL,"POLYGON ((-72.94135891478889 40.82193611588076, -72.94168989879469 40.82303008269985, -72.93802404779035 40.82820501111397, -72.93743716136295 40.82336168732888, -72.94135891478889 40.82193611588076))","((-72.94135891478889, 40.82193611588076), (-72.93802404779035, 40.828205011113965))"
83,ELLIOT,"POLYGON ((-86.93364419783323 33.49423396367071, -86.93327412662778 33.49341660977161, -86.93903594891819 33.49157475407107, -86.93884147479872 33.4921794534182, -86.93364419783323 33.49423396367071))","((-86.93327412662778, 33.49341660977161), (-86.93903594891819, 33.49157475407107))"
84,ENSLEY,"POLYGON ((-86.91084290833527 33.50276456529304, -86.90987325051965 33.50793413851329, -86.90324870510767 33.51275993081144, -86.90318600392497 33.51212846003524, -86.91084290833527 33.50276456529304))","((-86.91084290833527, 33.50276456529304), (-86.90324870510767, 33.51275993081144))"
85,EXUM,"POLYGON ((-86.93854576702577 33.49133994253357, -86.93895697993129 33.49232692659591, -86.93011105630218 33.49927163129202, -86.93103970487554 33.49413081259303, -86.93854576702577 33.49133994253357))","((-86.93854576702577, 33.49133994253357), (-86.93011105630218, 33.49927163129202))"
86,FLINTRIDGE,"POLYGON ((-86.92667228413832 33.46323403252479, -86.92991869093962 33.46692840479083, -86.9297637489427 33.47152802135749, -86.92918352441093 33.47128532186602, -86.92667228413832 33.46323403252479))","((-86.92667228413832, 33.46323403252479), (-86.9297637489427, 33.471528021357486))"
87,BELPRE,"POLYGON ((-81.57410125758335 39.2777290070384, -81.57452607404466 39.27703201131138, -81.60076608239686 39.28055320730238, -81.57632646308288 39.28074635259387, -81.57410125758335 39.2777290070384))","((-81.57410125758335, 39.2777290070384), (-81.60076608239686, 39.280553207302376))"
