link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,link_type_name,from_biway,vdf_free_speed_in_mph,is_link
73,,,21,5252,,"LINESTRING (-111.96958164110032 33.51275861875574, -111.9836738 33.523785)",1,1791.560162,,0,90,1,99999,,,0,0.15,4,1,1.113461878,,55,1.194373441,,,,,connector,1,55.9235463,0
74,,,21,15273,,"LINESTRING (-111.96958164110032 33.51275861875574, -111.9891908 33.5315726)",1,2770.003108,,0,90,1,99999,,,0,0.15,4,1,1.721568122,,55,1.846668739,,,,,connector,1,55.9235463,0
75,,,22,860,,"LINESTRING (-112.17715443274976 33.35521694448214, -112.1776188 33.3629553)",1,859.355225,,0,90,1,99999,,,0,0.15,4,1,0.534092744,,55,0.572903483,,,,,connector,1,55.9235463,0
76,,,22,16581,,"LINESTRING (-112.17715443274976 33.35521694448214, -112.1690886 33.3611278)",1,996.6742161,,0,90,1,99999,,,0,0.15,4,1,0.619437052,,55,0.664449477,,,,,connector,1,55.9235463,0
77,,,22,17257,,"LINESTRING (-112.17715443274976 33.35521694448214, -112.1660683 33.362976)",1,1343.583647,,0,90,1,99999,,,0,0.15,4,1,0.835042664,,55,0.895722431,,,,,connector,1,55.9235463,0
78,,,22,17707,,"LINESTRING (-112.17715443274976 33.35521694448214, -112.1783243 33.3629528)",1,864.871685,,0,90,1,99999,,,0,0.15,4,1,0.537521246,,55,0.576581123,,,,,connector,1,55.9235463,0
79,,,22,17709,,"LINESTRING (-112.17715443274976 33.35521694448214, -112.1745274 33.3629654)",1,893.4933761,,0,90,1,99999,,,0,0.15,4,1,0.555309743,,55,0.595662251,,,,,connector,1,55.9235463,0
80,,,22,19461,,"LINESTRING (-112.17715443274976 33.35521694448214, -112.1873628 33.3483545)",1,1217.44955,,0,90,1,99999,,,0,0.15,4,1,0.756649813,,55,0.811633033,,,,,connector,1,55.9235463,0
81,,,22,19549,,"LINESTRING (-112.17715443274976 33.35521694448214, -112.1762157 33.3378162)",1,1931.904937,,0,90,1,99999,,,0,0.15,4,1,1.200686723,,55,1.287936625,,,,,connector,1,55.9235463,0
82,,,22,20017,,"LINESTRING (-112.17715443274976 33.35521694448214, -112.1691246 33.3580594)",1,811.1506039,,0,90,1,99999,,,0,0.15,4,1,0.504133377,,55,0.540767069,,,,,connector,1,55.9235463,0
83,,,22,20100,,"LINESTRING (-112.17715443274976 33.35521694448214, -112.1777295 33.3556932)",1,75.20049512,,0,90,1,99999,,,0,0.15,4,1,0.046737412,,55,0.050133663,,,,,connector,1,55.9235463,0
84,,,23,16576,,"LINESTRING (-111.95935302616245 33.49674493511945, -111.9607737 33.4979275)",1,186.096559,,0,90,1,99999,,,0,0.15,4,1,0.115659763,,55,0.124064373,,,,,connector,1,55.9235463,0
85,,,24,1171,,"LINESTRING (-111.95173828345676 33.618711058028005, -111.9528035 33.6196032)",1,139.8651737,,0,90,1,99999,,,0,0.15,4,1,0.08692677,,55,0.093243449,,,,,connector,1,55.9235463,0
86,,,25,5138,,"LINESTRING (-112.01366882544586 33.309221099157234, -112.0134634 33.3052862)",1,436.8385252,,0,90,1,99999,,,0,0.15,4,1,0.271496908,,55,0.291225683,,,,,connector,1,55.9235463,0
87,,,26,751,,"LINESTRING (-112.0736865971395 33.299032522830935, -112.0690313 33.3002192)",1,453.1119785,,0,90,1,99999,,,0,0.15,4,1,0.281610925,,55,0.302074652,,,,,connector,1,55.9235463,0
88,,,27,691,,"LINESTRING (-112.06200991677775 33.31245180275822, -112.0602389 33.3085703)",1,461.0079439,,0,90,1,99999,,,0,0.15,4,1,0.2865183,,55,0.307338629,,,,,connector,1,55.9235463,0
89,,,28,604,,"LINESTRING (-112.19880722366254 33.365595084790115, -112.2204188 33.3339561)",1,4044.82259,,0,90,1,99999,,,0,0.15,4,1,2.51387358,,55,2.696548393,,,,,connector,1,55.9235463,0
90,,,28,802,,"LINESTRING (-112.19880722366254 33.365595084790115, -112.2204776 33.3484393)",1,2772.84606,,0,90,1,99999,,,0,0.15,4,1,1.723335028,,55,1.84856404,,,,,connector,1,55.9235463,0
91,,,28,19532,,"LINESTRING (-112.19880722366254 33.365595084790115, -112.19173 33.3773656)",1,1462.203333,,0,90,1,99999,,,0,0.15,4,1,0.908765279,,55,0.974802222,,,,,connector,1,55.9235463,0
92,,,29,4391,,"LINESTRING (-112.1518547169135 33.37027074811928, -112.1434275 33.3702754)",1,784.2446505,,0,90,1,99999,,,0,0.15,4,1,0.487411218,,55,0.522829767,,,,,connector,1,55.9235463,0
93,,,29,19899,,"LINESTRING (-112.1518547169135 33.37027074811928, -112.1567771 33.3702568)",1,458.0841139,,0,90,1,99999,,,0,0.15,4,1,0.284701127,,55,0.305389409,,,,,connector,1,55.9235463,0
94,,,30,8870,,"LINESTRING (-112.14318756859348 33.64341010788946, -112.1430848 33.6400032)",1,378.0006126,,0,90,1,99999,,,0,0.15,4,1,0.234928908,,55,0.252000408,,,,,connector,1,55.9235463,0
95,,,31,18884,,"LINESTRING (-112.15958100748428 33.38482928057905, -112.1680096 33.3803725)",1,927.0416943,,0,90,1,99999,,,0,0.15,4,1,0.576160158,,55,0.618027796,,,,,connector,1,55.9235463,0
96,,,32,16449,,"LINESTRING (-112.14235116499424 33.38487816849282, -112.1344531 33.3777413)",1,1080.118507,,0,90,1,99999,,,0,0.15,4,1,0.671298016,,55,0.720079005,,,,,connector,1,55.9235463,0
97,,,32,16606,,"LINESTRING (-112.14235116499424 33.38487816849282, -112.1335894 33.388182)",1,893.7932486,,0,90,1,99999,,,0,0.15,4,1,0.555496115,,55,0.595862166,,,,,connector,1,55.9235463,0
98,,,32,16607,,"LINESTRING (-112.14235116499424 33.38487816849282, -112.1338444 33.3783874)",1,1069.952152,,0,90,1,99999,,,0,0.15,4,1,0.664979585,,55,0.713301434,,,,,connector,1,55.9235463,0
99,,,32,16609,,"LINESTRING (-112.14235116499424 33.38487816849282, -112.1337225 33.3876806)",1,860.9117294,,0,90,1,99999,,,0,0.15,4,1,0.535060118,,55,0.573941153,,,,,connector,1,55.9235463,0
100,,,33,9865,,"LINESTRING (-112.07404320909424 33.499129268098415, -112.0738955 33.4988575)",1,33.12064528,,0,90,1,99999,,,0,0.15,4,1,0.020584615,,55,0.02208043,,,,,connector,1,55.9235463,0
101,,,34,12660,,"LINESTRING (-111.95193197791424 33.60421672998638, -111.943322 33.5967873)",1,1147.890925,,0,90,1,99999,,,0,0.15,4,1,0.713418847,,55,0.765260617,,,,,connector,1,55.9235463,0
102,,,35,5982,,"LINESTRING (-111.95816375481832 33.77705452801054, -111.9606725 33.7872503)",1,1154.523422,,0,90,1,99999,,,0,0.15,4,1,0.717540971,,55,0.769682282,,,,,connector,1,55.9235463,0
103,,,35,5983,,"LINESTRING (-111.95816375481832 33.77705452801054, -111.9607507 33.7937862)",1,1871.254289,,0,90,1,99999,,,0,0.15,4,1,1.1629921,,55,1.247502859,,,,,connector,1,55.9235463,0
104,,,35,15718,,"LINESTRING (-111.95816375481832 33.77705452801054, -111.9521822 33.7846702)",1,1010.19154,,0,90,1,99999,,,0,0.15,4,1,0.627838123,,55,0.673461027,,,,,connector,1,55.9235463,0
105,,,35,17807,,"LINESTRING (-111.95816375481832 33.77705452801054, -111.9607183 33.7846709)",1,877.3041035,,0,90,1,99999,,,0,0.15,4,1,0.545248044,,55,0.584869402,,,,,connector,1,55.9235463,0
106,,,35,17832,,"LINESTRING (-111.95816375481832 33.77705452801054, -111.942584 33.7702169)",1,1630.290805,,0,90,1,99999,,,0,0.15,4,1,1.013232321,,55,1.086860537,,,,,connector,1,55.9235463,0
107,,,36,836,,"LINESTRING (-111.96950766168572 33.60428184958688, -111.9692427 33.6043382)",1,25.37317816,,0,90,1,99999,,,0,0.15,4,1,0.015769533,,55,0.016915452,,,,,connector,1,55.9235463,0
108,,,37,20053,,"LINESTRING (-112.15680689752622 33.77036336109315, -112.134395 33.7837834)",1,2554.43264,,0,90,1,99999,,,0,0.15,4,1,1.587590205,,55,1.702955093,,,,,connector,1,55.9235463,0
109,,,37,20058,,"LINESTRING (-112.15680689752622 33.77036336109315, -112.135367 33.7835853)",1,2468.706641,,0,90,1,99999,,,0,0.15,4,1,1.53431115,,55,1.645804427,,,,,connector,1,55.9235463,0
110,,,37,20063,,"LINESTRING (-112.15680689752622 33.77036336109315, -112.1514671 33.7834706)",1,1535.663643,,0,90,1,99999,,,0,0.15,4,1,0.954421158,,55,1.023775762,,,,,connector,1,55.9235463,0
111,,,37,20151,,"LINESTRING (-112.15680689752622 33.77036336109315, -112.1564085 33.7833814)",1,1444.411017,,0,90,1,99999,,,0,0.15,4,1,0.897707282,,55,0.962940678,,,,,connector,1,55.9235463,0
112,,,37,20154,,"LINESTRING (-112.15680689752622 33.77036336109315, -112.156287 33.7833802)",1,1444.609311,,0,90,1,99999,,,0,0.15,4,1,0.897830522,,55,0.963072874,,,,,connector,1,55.9235463,0
113,,,37,20163,,"LINESTRING (-112.15680689752622 33.77036336109315, -112.1695112 33.772297)",1,1196.204379,,0,90,1,99999,,,0,0.15,4,1,0.743445854,,55,0.797469586,,,,,connector,1,55.9235463,0
114,,,38,19759,,"LINESTRING (-112.15085550584593 33.72008135380225, -112.161428 33.725055)",1,1124.517627,,0,90,1,99999,,,0,0.15,4,1,0.698892248,,55,0.749678418,,,,,connector,1,55.9235463,0
115,,,39,8381,,"LINESTRING (-111.98711388227336 33.59044231773569, -111.9865398 33.5899474)",1,76.5057646,,0,90,1,99999,,,0,0.15,4,1,0.047548642,,55,0.051003843,,,,,connector,1,55.9235463,0
116,,,40,19435,,"LINESTRING (-112.08076293163973 33.745650449794454, -112.1147111 33.757364)",1,3403.168253,,0,90,1,99999,,,0,0.15,4,1,2.115082817,,55,2.268778835,,,,,connector,1,55.9235463,0
117,,,41,3125,,"LINESTRING (-112.08201181406687 33.784741536077675, -112.1003458 33.7702014)",1,2341.97665,,0,90,1,99999,,,0,0.15,4,1,1.455547949,,55,1.561317767,,,,,connector,1,55.9235463,0
118,,,41,16186,,"LINESTRING (-112.08201181406687 33.784741536077675, -112.0796404 33.7990101)",1,1597.814347,,0,90,1,99999,,,0,0.15,4,1,0.993048071,,55,1.065209564,,,,,connector,1,55.9235463,0
119,,,41,16187,,"LINESTRING (-112.08201181406687 33.784741536077675, -112.0814547 33.7991459)",1,1598.545196,,0,90,1,99999,,,0,0.15,4,1,0.993502297,,55,1.065696797,,,,,connector,1,55.9235463,0
120,,,41,17803,,"LINESTRING (-112.08201181406687 33.784741536077675, -112.0828226 33.8105674)",1,2865.555981,,0,90,1,99999,,,0,0.15,4,1,1.780954619,,55,1.910370654,,,,,connector,1,55.9235463,0
121,,,41,19772,,"LINESTRING (-112.08201181406687 33.784741536077675, -112.0650087 33.7663125)",1,2580.481067,,0,90,1,99999,,,0,0.15,4,1,1.603779408,,55,1.720320711,,,,,connector,1,55.9235463,0
